ProteinID_x,Description,SignalP,Cwpred,TMHMM,DeepLocPro,ProteinID_clean,ProteinID_y,Pfam,SignalP_score,Cwpred_score,TMHMM_score,DeepLoc_score,Pfam_score,raw_sum,available_max,score100
WP_001832276.1 MULTISPECIES_ GNAT family N-acetyltransferase _Staphylococcus_,GNAT family N-acetyltransferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832276.1,WP_001832276.1,PF13302,0,6,15,0,0,21,100,21
WP_001832278.1 MULTISPECIES_ deoxynucleoside kinase _Staphylococcus_,deoxynucleoside kinase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832278.1,WP_001832278.1,PF01712,0,6,15,0,0,21,100,21
WP_001832284.1 MULTISPECIES_ sigma-70 family RNA polymerase sigma factor _Staphylococcus_,sigma-70 family RNA polymerase sigma factor ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832284.1,WP_001832284.1,PF04542,0,6,15,0,0,21,100,21
WP_001832289.1 MULTISPECIES_ elongation factor Tu _Staphylococcus_,elongation factor Tu ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832289.1,WP_001832289.1,PF03144;PF03143;PF00009,0,6,15,0,0,21,100,21
WP_001832291.1 MULTISPECIES_ deoxynucleoside kinase _Staphylococcus_,deoxynucleoside kinase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832291.1,WP_001832291.1,PF01712,0,6,15,0,0,21,100,21
WP_001832295.1 MULTISPECIES_ tRNA adenosine_34_ deaminase TadA _Bacillales_,tRNA adenosine_34_ deaminase TadA ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832295.1,WP_001832295.1,PF14437,0,6,15,0,0,21,100,21
WP_001832298.1 MULTISPECIES_ 50S ribosomal protein L11 _Bacilli_,50S ribosomal protein L11 ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832298.1,WP_001832298.1,PF00298;PF03946,0,6,15,0,0,21,100,21
WP_001832301.1 MULTISPECIES_ NADPH-dependent FMN reductase _Staphylococcus_,NADPH-dependent FMN reductase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832301.1,WP_001832301.1,PF03358,0,6,15,0,0,21,100,21
WP_001832302.1 MULTISPECIES_ 3-oxoacyl-ACP reductase _Staphylococcus_,3-oxoacyl-ACP reductase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832302.1,WP_001832302.1,PF13561,0,6,15,0,0,21,100,21
WP_001832303.1 MULTISPECIES_ transcription termination_antitermination protein NusG _Staphylococcus_,transcription termination_antitermination protein NusG ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832303.1,WP_001832303.1,PF02357,0,6,15,0,0,21,100,21
WP_001832304.1 MULTISPECIES_ branched-chain amino acid aminotransferase _Staphylococcus_,branched-chain amino acid aminotransferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832304.1,WP_001832304.1,PF01063,0,6,15,0,0,21,100,21
WP_001832309.1 MULTISPECIES_ alcohol dehydrogenase catalytic domain-containing protein _Staphylococcus_,alcohol dehydrogenase catalytic domain-containing protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832309.1,WP_001832309.1,PF08240;PF00107,0,6,15,0,0,21,100,21
WP_001832310.1 MULTISPECIES_ glutamate--tRNA ligase _Staphylococcus_,glutamate--tRNA ligase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832310.1,WP_001832310.1,PF19269;PF00749,0,6,15,0,0,21,100,21
WP_001832311.1 MULTISPECIES_ IspD_TarI family cytidylyltransferase _Staphylococcus_,IspD_TarI family cytidylyltransferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832311.1,WP_001832311.1,PF01128,0,6,15,0,0,21,100,21
WP_001832317.1 MULTISPECIES_ NYN domain-containing protein _Staphylococcus_,NYN domain-containing protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832317.1,WP_001832317.1,PF05991,0,6,15,0,0,21,100,21
WP_001832318.1 MULTISPECIES_ HAD family hydrolase _Staphylococcus_,HAD family hydrolase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832318.1,WP_001832318.1,PF13419,0,6,15,0,0,21,100,21
WP_001832328.1 MULTISPECIES_ aminotransferase class I_II-fold pyridoxal phosphate-dependent enzyme _Staphylococcus_,aminotransferase class I_II-fold pyridoxal phosphate-dependent enzyme ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832328.1,WP_001832328.1,PF00155,0,6,15,0,0,21,100,21
WP_001832332.1 MULTISPECIES_ FeoA family protein _Staphylococcus_,FeoA family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832332.1,WP_001832332.1,PF04023,0,6,15,0,0,21,100,21
WP_001832342.1 MULTISPECIES_ pyruvate oxidase _Staphylococcus_,pyruvate oxidase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832342.1,WP_001832342.1,PF00205;PF02776;PF02775,0,6,15,0,0,21,100,21
WP_001832364.1 MULTISPECIES_ sterile alpha motif-like domain-containing protein _Staphylococcus_,sterile alpha motif-like domain-containing protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832364.1,WP_001832364.1,PF06855,0,6,15,0,0,21,100,21
WP_001832366.1 MULTISPECIES_ cidABC operon transcriptional activator CidR _Staphylococcus_,cidABC operon transcriptional activator CidR ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832366.1,WP_001832366.1,PF03466;PF00126,0,6,15,0,0,21,100,21
WP_001832382.1 MULTISPECIES_ urease accessory protein UreE _Staphylococcus_,urease accessory protein UreE ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832382.1,WP_001832382.1,PF02814;PF05194,0,6,15,0,0,21,100,21
WP_001832383.1 MULTISPECIES_ urease subunit beta _Staphylococcus_,urease subunit beta ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832383.1,WP_001832383.1,PF00699,0,6,15,0,0,21,100,21
WP_001832402.1 MULTISPECIES_ urease subunit gamma _Staphylococcus_,urease subunit gamma ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832402.1,WP_001832402.1,PF00547,0,6,15,0,0,21,100,21
WP_001832410.1 MULTISPECIES_ urease accessory protein UreG _Staphylococcus_,urease accessory protein UreG ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832410.1,WP_001832410.1,PF02492,0,6,15,0,0,21,100,21
WP_001832455.1 MULTISPECIES_ glutamate synthase large subunit _Staphylococcus_,glutamate synthase large subunit ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832455.1,WP_001832455.1,PF00310;PF01493;PF04898;PF01645,0,6,15,0,0,21,100,21
WP_001832460.1 MULTISPECIES_ glycosyltransferase _Staphylococcus_,glycosyltransferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832460.1,WP_001832460.1,PF00534,0,6,15,0,0,21,100,21
WP_001832467.1 MULTISPECIES_ aminopeptidase _Staphylococcus_,aminopeptidase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832467.1,WP_001832467.1,PF02073,0,6,15,0,0,21,100,21
WP_001832476.1 MULTISPECIES_ ammonia-dependent NAD___ synthetase _Staphylococcus_,ammonia-dependent NAD___ synthetase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832476.1,WP_001832476.1,PF02540,0,6,15,0,0,21,100,21
WP_001832522.1 MULTISPECIES_ ribonuclease P protein component _Bacillales_,ribonuclease P protein component ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832522.1,WP_001832522.1,PF00825,0,6,15,0,0,21,100,21
WP_001832528.1 MULTISPECIES_ IS200_IS605-like element ISSep3 family transposase _Staphylococcus_,IS200_IS605-like element ISSep3 family transposase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832528.1,WP_001832528.1,PF01797,0,6,15,0,0,21,100,21
WP_001832548.1 MULTISPECIES_ TIGR00282 family metallophosphoesterase _Staphylococcus_,TIGR00282 family metallophosphoesterase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832548.1,WP_001832548.1,PF13277,0,6,15,0,0,21,100,21
WP_001832554.1 MULTISPECIES_ polyribonucleotide nucleotidyltransferase _Staphylococcus_,polyribonucleotide nucleotidyltransferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832554.1,WP_001832554.1,PF03726;PF03725;PF03725;PF01138;PF01138;PF00575;PF00013,0,6,15,0,0,21,100,21
WP_001832557.1 MULTISPECIES_ 30S ribosomal protein S2 _Staphylococcus_,30S ribosomal protein S2 ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832557.1,WP_001832557.1,PF00318,0,6,15,0,0,21,100,21
WP_001832558.1 MULTISPECIES_ poly-gamma-glutamate hydrolase family protein _Staphylococcus_,poly-gamma-glutamate hydrolase family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832558.1,WP_001832558.1,PF05908,0,6,15,0,0,21,100,21
WP_001832559.1 MULTISPECIES_ ribosome maturation factor RimM _Staphylococcus_,ribosome maturation factor RimM ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832559.1,WP_001832559.1,PF01782;PF05239,0,6,15,0,0,21,100,21
WP_001832560.1 MULTISPECIES_ FADH_2_-oxidizing methylenetetrahydrofolate--tRNA-_uracil_54_-C_5__-methyltransferase TrmFO _Staphylococcus_,FADH_2_-oxidizing methylenetetrahydrofolate--tRNA-_uracil_54_-C_5__-methyltransferase TrmFO ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832560.1,WP_001832560.1,PF01134,0,6,15,0,0,21,100,21
WP_001832561.1 MULTISPECIES_ isoprenyl transferase _Staphylococcus_,isoprenyl transferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832561.1,WP_001832561.1,PF01255,0,6,15,0,0,21,100,21
WP_001832563.1 MULTISPECIES_ bifunctional riboflavin kinase_FAD synthetase _Staphylococcus_,bifunctional riboflavin kinase_FAD synthetase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832563.1,WP_001832563.1,PF01687;PF06574,0,6,15,0,0,21,100,21
"WP_001832599.1 MULTISPECIES_ 5_ nucleotidase, NT5C type _Staphylococcus_","5_ nucleotidase, NT5C type ",OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832599.1,WP_001832599.1,PF06941,0,6,15,0,0,21,100,21
WP_001832639.1 MULTISPECIES_ 2-hydroxyacid dehydrogenase family protein _Staphylococcus_,2-hydroxyacid dehydrogenase family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832639.1,WP_001832639.1,PF00389;PF02826,0,6,15,0,0,21,100,21
WP_001832645.1 MULTISPECIES_ GMP reductase _Staphylococcus_,GMP reductase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832645.1,WP_001832645.1,PF00478,0,6,15,0,0,21,100,21
WP_001832668.1 MULTISPECIES_ uroporphyrinogen-III synthase _Staphylococcus_,uroporphyrinogen-III synthase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832668.1,WP_001832668.1,PF02602,0,6,15,0,0,21,100,21
WP_001832683.1 MULTISPECIES_ RelA_SpoT family protein _Staphylococcus_,RelA_SpoT family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832683.1,WP_001832683.1,PF13328;PF13291;PF02824;PF19296;PF04607,0,6,15,0,0,21,100,21
WP_001832695.1 MULTISPECIES_ tetratricopeptide repeat protein _Staphylococcus_,tetratricopeptide repeat protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832695.1,WP_001832695.1,PF13181;PF13181;PF13181;PF14559,0,6,15,0,0,21,100,21
WP_001832720.1 MULTISPECIES_ glycerophosphodiester phosphodiesterase _Staphylococcus_,glycerophosphodiester phosphodiesterase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832720.1,WP_001832720.1,PF03009,0,6,15,0,0,21,100,21
WP_001832731.1 MULTISPECIES_ 6-phospho-beta-galactosidase _Staphylococcus_,6-phospho-beta-galactosidase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832731.1,WP_001832731.1,PF00232,0,6,15,0,0,21,100,21
WP_001832739.1 MULTISPECIES_ Tex family protein _Staphylococcus_,Tex family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832739.1,WP_001832739.1,PF17674;PF12836;PF00575;PF09371;PF16921,0,6,15,0,0,21,100,21
WP_001832759.1 MULTISPECIES_ dihydrolipoyllysine-residue succinyltransferase _Staphylococcus_,dihydrolipoyllysine-residue succinyltransferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832759.1,WP_001832759.1,PF00364;PF00198;PF02817,0,6,15,0,0,21,100,21
WP_001832762.1 MULTISPECIES_ DEAD_DEAH box helicase _Staphylococcus_,DEAD_DEAH box helicase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832762.1,WP_001832762.1,PF00270;PF00271,0,6,15,0,0,21,100,21
WP_001832766.1 MULTISPECIES_ acetyl-CoA carboxylase biotin carboxyl carrier protein _Staphylococcus_,acetyl-CoA carboxylase biotin carboxyl carrier protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832766.1,WP_001832766.1,PF00364,0,6,15,0,0,21,100,21
WP_001832767.1 MULTISPECIES_ phosphoribosylanthranilate isomerase _Staphylococcus_,phosphoribosylanthranilate isomerase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832767.1,WP_001832767.1,PF00697,0,6,15,0,0,21,100,21
WP_001832780.1 MULTISPECIES_ biotin-dependent carboxyltransferase family protein _Staphylococcus_,biotin-dependent carboxyltransferase family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832780.1,WP_001832780.1,PF02626,0,6,15,0,0,21,100,21
WP_001832789.1 MULTISPECIES_ amidohydrolase _Staphylococcus_,amidohydrolase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001832789.1,WP_001832789.1,PF07687;PF01546,0,6,15,0,0,21,100,21
WP_001833037.1 MULTISPECIES_ endonuclease MutS2 _Staphylococcus_,endonuclease MutS2 ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001833037.1,WP_001833037.1,PF01713;PF20297;PF00488,0,6,15,0,0,21,100,21
WP_001833064.1 MULTISPECIES_ UPF0223 family protein _Staphylococcus_,UPF0223 family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001833064.1,WP_001833064.1,PF05256,0,6,15,0,0,21,100,21
WP_001833068.1 MULTISPECIES_ 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase _Staphylococcus_,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001833068.1,WP_001833068.1,PF02776;PF02775;PF16582,0,6,15,0,0,21,100,21
WP_001833079.1 MULTISPECIES_ 30S ribosomal protein S12 _Staphylococcus_,30S ribosomal protein S12 ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001833079.1,WP_001833079.1,PF00164,0,6,15,0,0,21,100,21
WP_001833082.1 MULTISPECIES_ Mini-ribonuclease 3 _Staphylococcus_,Mini-ribonuclease 3 ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001833082.1,WP_001833082.1,PF00636,0,6,15,0,0,21,100,21
WP_001833083.1 MULTISPECIES_ DNA-directed RNA polymerase subunit beta _Staphylococcus_,DNA-directed RNA polymerase subunit beta ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001833083.1,WP_001833083.1,PF00562;PF04565;PF04563;PF04561;PF04561;PF10385;PF04560,0,6,15,0,0,21,100,21
WP_002387625.1 MULTISPECIES_ DUF536 domain-containing protein _Bacilli_,DUF536 domain-containing protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002387625.1,WP_002387625.1,PF04394,0,6,15,0,0,21,100,21
WP_002387626.1 MULTISPECIES_ replication initiator protein A _Bacilli_,replication initiator protein A ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002387626.1,WP_002387626.1,PF06970;PF18008,0,6,15,0,0,21,100,21
WP_002409346.1 MULTISPECIES_ IS6-like element IS257 family transposase _Bacilli_,IS6-like element IS257 family transposase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002409346.1,WP_002409346.1,PF13610,0,6,15,0,0,21,100,21
WP_002437170.1 MULTISPECIES_ alkyl hydroperoxide reductase subunit C _Staphylococcus_,alkyl hydroperoxide reductase subunit C ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437170.1,WP_002437170.1,PF00578,0,6,15,0,0,21,100,21
WP_002437189.1 MULTISPECIES_ histidine phosphatase family protein _Staphylococcus_,histidine phosphatase family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437189.1,WP_002437189.1,PF00300,0,6,15,0,0,21,100,21
WP_002437223.1 MULTISPECIES_ 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase _Staphylococcus_,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437223.1,WP_002437223.1,PF08267;PF01717,0,6,15,0,0,21,100,21
WP_002437296.1 tRNA uridine-5-carboxymethylaminomethyl_34_ synthesis GTPase MnmE _Staphylococcus epidermidis_,synthesis GTPase MnmE ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437296.1,WP_002437296.1,PF12631;PF10396;PF01926,0,6,15,0,0,21,100,21
WP_002437518.1 MULTISPECIES_ DUF1643 domain-containing protein _Staphylococcus_,DUF1643 domain-containing protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437518.1,WP_002437518.1,PF07799,0,6,15,0,0,21,100,21
WP_002437584.1 MULTISPECIES_ radical SAM protein _Staphylococcus_,radical SAM protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437584.1,WP_002437584.1,PF13394;PF04055,0,6,15,0,0,21,100,21
WP_002437624.1 MULTISPECIES_ ArsR_SmtB family transcription factor _Staphylococcus_,ArsR_SmtB family transcription factor ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437624.1,WP_002437624.1,PF01022,0,6,15,0,0,21,100,21
WP_002437630.1 MULTISPECIES_ ArsR_SmtB family transcription factor _Staphylococcus_,ArsR_SmtB family transcription factor ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437630.1,WP_002437630.1,PF01022,0,6,15,0,0,21,100,21
WP_002437642.1 MULTISPECIES_ HAD-IIB family hydrolase _Staphylococcus_,HAD-IIB family hydrolase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437642.1,WP_002437642.1,PF05116,0,6,15,0,0,21,100,21
WP_002437691.1 MULTISPECIES_ dethiobiotin synthase _Staphylococcus_,dethiobiotin synthase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437691.1,WP_002437691.1,PF13500,0,6,15,0,0,21,100,21
WP_002437694.1 MULTISPECIES_ adenosylmethionine--8-amino-7-oxononanoate transaminase _Staphylococcus_,adenosylmethionine--8-amino-7-oxononanoate transaminase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437694.1,WP_002437694.1,PF00202,0,6,15,0,0,21,100,21
WP_002437695.1 MULTISPECIES_ aminotransferase class I_II-fold pyridoxal phosphate-dependent enzyme _Staphylococcus_,aminotransferase class I_II-fold pyridoxal phosphate-dependent enzyme ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437695.1,WP_002437695.1,PF00155,0,6,15,0,0,21,100,21
WP_002437743.1 MULTISPECIES_ staphylopine biosynthesis dehydrogenase _Staphylococcus_,staphylopine biosynthesis dehydrogenase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437743.1,WP_002437743.1,PF10100,0,6,15,0,0,21,100,21
WP_002437759.1 MULTISPECIES_ TetR_AcrR family transcriptional regulator _Staphylococcus_,TetR_AcrR family transcriptional regulator ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437759.1,WP_002437759.1,PF00440;PF17937,0,6,15,0,0,21,100,21
WP_002437763.1 MULTISPECIES_ thioesterase family protein _Staphylococcus_,thioesterase family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437763.1,WP_002437763.1,PF13279,0,6,15,0,0,21,100,21
WP_002437839.1 MULTISPECIES_ imidazoleglycerol-phosphate dehydratase HisB _Staphylococcus_,imidazoleglycerol-phosphate dehydratase HisB ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437839.1,WP_002437839.1,PF00475,0,6,15,0,0,21,100,21
WP_002437882.1 MULTISPECIES_ accessory Sec system glycosyltransferase GtfA _Staphylococcus_,accessory Sec system glycosyltransferase GtfA ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437882.1,WP_002437882.1,PF00534,0,6,15,0,0,21,100,21
WP_002437911.1 MULTISPECIES_ BglG family transcription antiterminator _Staphylococcus_,BglG family transcription antiterminator ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437911.1,WP_002437911.1,PF08279;PF00359;PF00874,0,6,15,0,0,21,100,21
WP_002437936.1 MULTISPECIES_ arginine deiminase _Staphylococcus_,arginine deiminase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002437936.1,WP_002437936.1,PF02274,0,6,15,0,0,21,100,21
WP_002438017.1 MULTISPECIES_ anaerobic ribonucleoside-triphosphate reductase _Staphylococcus_,anaerobic ribonucleoside-triphosphate reductase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438017.1,WP_002438017.1,PF13597,0,6,15,0,0,21,100,21
WP_002438021.1 MULTISPECIES_ anaerobic ribonucleoside-triphosphate reductase activating protein _Staphylococcus_,anaerobic ribonucleoside-triphosphate reductase activating protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438021.1,WP_002438021.1,PF13353,0,6,15,0,0,21,100,21
"WP_002438099.1 MULTISPECIES_ hydroxymethylglutaryl-CoA reductase, degradative _Staphylococcus_","hydroxymethylglutaryl-CoA reductase, degradative ",OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438099.1,WP_002438099.1,PF00368,0,6,15,0,0,21,100,21
WP_002438113.1 MULTISPECIES_ thioredoxin family protein _Staphylococcus_,thioredoxin family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438113.1,WP_002438113.1,PF00085,0,6,15,0,0,21,100,21
WP_002438140.1 MULTISPECIES_ GNAT family N-acetyltransferase _Staphylococcus_,GNAT family N-acetyltransferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438140.1,WP_002438140.1,PF00583,0,6,15,0,0,21,100,21
WP_002438142.1 MULTISPECIES_ Cof-type HAD-IIB family hydrolase _Staphylococcus_,Cof-type HAD-IIB family hydrolase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438142.1,WP_002438142.1,PF08282,0,6,15,0,0,21,100,21
WP_002438144.1 MULTISPECIES_ NAD_P_H-dependent oxidoreductase _Staphylococcus_,NAD_P_H-dependent oxidoreductase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438144.1,WP_002438144.1,PF00881,0,6,15,0,0,21,100,21
WP_002438147.1 MULTISPECIES_ aldehyde dehydrogenase family protein _Staphylococcus_,aldehyde dehydrogenase family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438147.1,WP_002438147.1,PF00171,0,6,15,0,0,21,100,21
WP_002438150.1 MULTISPECIES_ VOC family protein _Staphylococcus_,VOC family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438150.1,WP_002438150.1,PF00903,0,6,15,0,0,21,100,21
"WP_002438166.1 MULTISPECIES_ fructose-1,6-bisphosphatase _Staphylococcus_","fructose-1,6-bisphosphatase ",OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438166.1,WP_002438166.1,PF06874,0,6,15,0,0,21,100,21
WP_002438172.1 MULTISPECIES_ thiamine phosphate synthase _Staphylococcus_,thiamine phosphate synthase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438172.1,WP_002438172.1,PF02581,0,6,15,0,0,21,100,21
WP_002438178.1 MULTISPECIES_ putative quinol monooxygenase _Staphylococcus_,putative quinol monooxygenase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438178.1,WP_002438178.1,PF03992,0,6,15,0,0,21,100,21
WP_002438182.1 MULTISPECIES_ DUF2188 domain-containing protein _Staphylococcus_,DUF2188 domain-containing protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438182.1,WP_002438182.1,PF09954,0,6,15,0,0,21,100,21
WP_002438184.1 MULTISPECIES_ GTP pyrophosphokinase _Staphylococcus_,GTP pyrophosphokinase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438184.1,WP_002438184.1,PF04607,0,6,15,0,0,21,100,21
WP_002438243.1 MULTISPECIES_ carboxylesterase family protein _Staphylococcus_,carboxylesterase family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438243.1,WP_002438243.1,PF00135;PF00135,0,6,15,0,0,21,100,21
"WP_002438246.1 MULTISPECIES_ 2,3-butanediol dehydrogenase _Staphylococcus_","2,3-butanediol dehydrogenase ",OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438246.1,WP_002438246.1,PF00107;PF08240,0,6,15,0,0,21,100,21
WP_002438253.1 MULTISPECIES_ response regulator transcription factor LytR _Staphylococcus_,response regulator transcription factor LytR ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438253.1,WP_002438253.1,PF00072;PF04397,0,6,15,0,0,21,100,21
WP_002438293.1 MULTISPECIES_ aminoacyltransferase _Staphylococcus_,aminoacyltransferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438293.1,WP_002438293.1,PF02388,0,6,15,0,0,21,100,21
WP_002438297.1 MULTISPECIES_ SRPBCC family protein _Staphylococcus_,SRPBCC family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438297.1,WP_002438297.1,PF08327,0,6,15,0,0,21,100,21
WP_002438301.1 MULTISPECIES_ GNAT family N-acetyltransferase _Staphylococcus_,GNAT family N-acetyltransferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438301.1,WP_002438301.1,PF13508,0,6,15,0,0,21,100,21
WP_002438309.1 MULTISPECIES_ nitrite reductase large subunit NirB _Staphylococcus_,nitrite reductase large subunit NirB ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438309.1,WP_002438309.1,PF01077;PF18267;PF07992;PF03460;PF04324;PF04324,0,6,15,0,0,21,100,21
WP_002438313.1 MULTISPECIES_ uroporphyrinogen-III C-methyltransferase _Staphylococcus_,uroporphyrinogen-III C-methyltransferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438313.1,WP_002438313.1,PF00590,0,6,15,0,0,21,100,21
WP_002438330.1 MULTISPECIES_ MarR family winged helix-turn-helix transcriptional regulator _Bacillales_,MarR family winged helix-turn-helix transcriptional regulator ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438330.1,WP_002438330.1,PF01047,0,6,15,0,0,21,100,21
WP_002438333.1 MULTISPECIES_ nitroreductase family protein _Staphylococcus_,nitroreductase family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_002438333.1,WP_002438333.1,PF00881,0,6,15,0,0,21,100,21
