ProteinID,SignalP,Cwpred,TMHMM,DeepLocPro
WP_001831762.1 MULTISPECIES_ NAD_P_H-hydrate dehydratase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831769.1 MULTISPECIES_ ABC transporter permease _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_001831775.1 MULTISPECIES_ DUF3147 family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_001831779.1 MULTISPECIES_ replicative DNA helicase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831794.1 MULTISPECIES_ nucleoid occlusion protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831806.1 MULTISPECIES_ S4 domain-containing protein YaaA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831810.1 MULTISPECIES_ DUF3147 family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_001831811.1 MULTISPECIES_ 50S ribosomal protein L9 _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831812.1 MULTISPECIES_ DNA gyrase subunit A _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831813.1 MULTISPECIES_ DNA polymerase III subunit beta _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831816.1 MULTISPECIES_ response regulator YycF _Bacillota_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831817.1 MULTISPECIES_ DNA topoisomerase _ATP-hydrolyzing_ subunit B _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831818.1 MULTISPECIES_ tRNA uridine-5-carboxymethylaminomethyl_34_ synthesis enzyme MnmG _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001831825.1 MULTISPECIES_ MarR family winged helix-turn-helix transcriptional regulator _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831835.1 MULTISPECIES_ Crp_Fnr family transcriptional regulator _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831836.1 MULTISPECIES_ accessory Sec system protein Asp1 _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831841.1 MULTISPECIES_ arginine-ornithine antiporter _Staphylococcus_,OTHER,Transmembrane protein,PredHel=14,Cytoplasmic Membrane
WP_001831842.1 MULTISPECIES_ membrane protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=3,Cytoplasmic Membrane
WP_001831844.1 MULTISPECIES_ organic hydroperoxide resistance protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831846.1 MULTISPECIES_ accessory Sec system protein translocase subunit SecY2 _Staphylococcus_,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane
WP_001831857.1 MULTISPECIES_ CapA family protein _Bacillota_,LIPO,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_001831858.1 MULTISPECIES_ arginine repressor _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001831861.1 MULTISPECIES_ accessory Sec system glycosylation chaperone GtfB _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831870.1 MULTISPECIES_ alpha_beta hydrolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831873.1 MULTISPECIES_ beta-class phenol-soluble modulin _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Extracellular
WP_001831881.1 MULTISPECIES_ amidase domain-containing protein _Staphylococcus_,SP,Globular protein,PredHel=0,Extracellular
WP_001831885.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=2,Cytoplasmic Membrane
WP_001831890.1 MULTISPECIES_ LPXTG cell wall anchor domain-containing protein _Staphylococcus_,SP,Cell-wall binding protein,PredHel=2,Extracellular
"WP_001831892.1 MULTISPECIES_ mannose-6-phosphate isomerase, class I _Staphylococcus_",OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831893.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831895.1 MULTISPECIES_ YutD family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831896.1 MULTISPECIES_ YuzB family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831897.1 MULTISPECIES_ 2-hydroxyacid dehydrogenase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831898.1 MULTISPECIES_ Fe-S cluster assembly protein SufD _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831899.1 MULTISPECIES_ hotdog fold thioesterase _Bacillota_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831900.1 MULTISPECIES_ Na__H_ antiporter Mnh1 subunit G _Staphylococcus_,OTHER,Transmembrane protein,PredHel=3,Cytoplasmic Membrane
WP_001831904.1 MULTISPECIES_ D-alanyl-lipoteichoic acid biosynthesis protein DltD _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_001831906.1 MULTISPECIES_ bifunctional metallophosphatase_5_-nucleotidase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001831907.1 MULTISPECIES_ thioredoxin family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831910.1 MULTISPECIES_ methionine ABC transporter permease _Staphylococcus_,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane
WP_001831913.1 MULTISPECIES_ teichoic acid D-Ala incorporation-associated protein DltX _Staphylococcus_,OTHER,Transmembrane protein,PredHel=1,Cytoplasmic Membrane
WP_001831915.1 MULTISPECIES_ Na__H_ antiporter family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane
WP_001831918.1 MULTISPECIES_ S1 domain-containing post-transcriptional regulator Ygs _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831922.1 MULTISPECIES_ peptidylprolyl isomerase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831932.1 MULTISPECIES_ DUF86 domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831933.1 MULTISPECIES_ fumarylacetoacetate hydrolase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831936.1 MULTISPECIES_ thioredoxin family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831939.1 MULTISPECIES_ DUF368 domain-containing protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=8,Cytoplasmic Membrane
WP_001831940.1 MULTISPECIES_ Na__H_ antiporter Mnh1 subunit F _Staphylococcus_,OTHER,Transmembrane protein,PredHel=3,Cytoplasmic Membrane
WP_001831944.1 MULTISPECIES_ Fe-S cluster assembly ATPase SufC _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831949.1 MULTISPECIES_ Na__H_ antiporter Mnh1 subunit C _Staphylococcus_,OTHER,Transmembrane protein,PredHel=3,Cytoplasmic Membrane
WP_001831951.1 MULTISPECIES_ YuzD family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831952.1 MULTISPECIES_ cysteine desulfurase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831954.1 MULTISPECIES_ Fe-S cluster assembly sulfur transfer protein SufU _Bacillota_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831958.1 MULTISPECIES_ NifU family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831962.1 MULTISPECIES_ DUF72 domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831965.1 MULTISPECIES_ arsenate reductase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831966.1 MULTISPECIES_ NAD_P__FAD-dependent oxidoreductase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic Membrane
WP_001831967.1 MULTISPECIES_ CsbD family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831968.1 MULTISPECIES_ toprim domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831972.1 MULTISPECIES_ Na__H_ antiporter subunit E _Staphylococcus_,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane
WP_001831974.1 MULTISPECIES_ type I 3-dehydroquinate dehydratase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831977.1 MULTISPECIES_ D-alanine--poly_phosphoribitol_ ligase subunit DltA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831979.1 MULTISPECIES_ lipoyl synthase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831980.1 MULTISPECIES_ Fe-S cluster assembly protein SufB _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831981.1 MULTISPECIES_ nitroreductase family protein _Bacillales_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831987.1 MULTISPECIES_ glycerophosphodiester phosphodiesterase _Staphylococcus_,SP,Globular protein,PredHel=0,Extracellular
WP_001831992.1 MULTISPECIES_ methionine ABC transporter ATP-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001831993.1 MULTISPECIES_ glucose-6-phosphate isomerase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831994.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001831995.1 MULTISPECIES_ Glu_Leu_Phe_Val family dehydrogenase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831996.1 MULTISPECIES_ D-alanine--poly_phosphoribitol_ ligase subunit 2 _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831999.1 MULTISPECIES_ Na__H_ antiporter Mnh1 subunit B _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_001832001.1 MULTISPECIES_ NAD_P__FAD-dependent oxidoreductase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic Membrane
WP_001832002.1 MULTISPECIES_ HesB_IscA family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001832013.1 MULTISPECIES_ MFS transporter _Staphylococcus_,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane
WP_001832016.1 MULTISPECIES_ bifunctional metallophosphatase_5_-nucleotidase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832022.1 MULTISPECIES_ ABC transporter permease VraG _Staphylococcus_,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane
WP_001832023.1 MULTISPECIES_ protein VraC _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832026.1 MULTISPECIES_ GNAT family N-acetyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832028.1 MULTISPECIES_ DUF456 domain-containing protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_001832031.1 MULTISPECIES_ Na__H_ antiporter Mnh2 subunit F _Bacilli_,OTHER,Transmembrane protein,PredHel=3,Cytoplasmic Membrane
WP_001832032.1 MULTISPECIES_ phosphate acetyltransferase _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832033.1 MULTISPECIES_ auxiliary protein GraX_ApsX _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic Membrane
WP_001832035.1 MULTISPECIES_ GTP cyclohydrolase FolE2 _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832039.1 MULTISPECIES_ threonine_serine exporter family protein _Bacteria_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_001832041.1 MULTISPECIES_ ABC transporter permease _Staphylococcus_,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane
WP_001832042.1 MULTISPECIES_ metal ABC transporter permease _Staphylococcus_,OTHER,Transmembrane protein,PredHel=8,Cytoplasmic Membrane
WP_001832044.1 MULTISPECIES_ LysR family transcriptional regulator _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001832046.1 MULTISPECIES_ response regulator transcription factor GraR_ApsR _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832050.1 MULTISPECIES_ ABC transporter ATP-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001832052.1 MULTISPECIES_ lipoate--protein ligase family protein _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832055.1 MULTISPECIES_ global transcriptional regulator SarA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832056.1 MULTISPECIES_ DUF1129 family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_001832057.1 MULTISPECIES_ Na__H_ antiporter Mnh2 subunit C _Bacillota_,OTHER,Transmembrane protein,PredHel=3,Cytoplasmic Membrane
WP_001832058.1 MULTISPECIES_ cupin domain-containing protein _Bacillota_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832059.1 MULTISPECIES_ glycosyltransferase family 2 protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001832064.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=2,Cytoplasmic Membrane
WP_001832069.1 MULTISPECIES_ mevalonate kinase _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832071.1 MULTISPECIES_ teichoic acids export ABC transporter ATP-binding subunit TagH _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001832075.1 MULTISPECIES_ phosphomevalonate kinase _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832077.1 MULTISPECIES_ glucosamine-6-phosphate deaminase _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832078.1 MULTISPECIES_ DUF5327 family protein _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832082.1 MULTISPECIES_ undecaprenyl-diphosphate phosphatase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=8,Cytoplasmic Membrane
WP_001832084.1 MULTISPECIES_ metal ABC transporter ATP-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001832086.1 MULTISPECIES_ LysM peptidoglycan-binding domain-containing protein _Staphylococcus_,SP,Globular protein,PredHel=0,Extracellular
WP_001832090.1 MULTISPECIES_ DUF1450 domain-containing protein _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832093.1 MULTISPECIES_ sugar efflux transporter _Staphylococcus_,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane
WP_001832096.1 MULTISPECIES_ M50 family metallopeptidase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane
WP_001832099.1 MULTISPECIES_ Na__H_ antiporter Mnh2 subunit G _Staphylococcus_,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane
WP_001832101.1 MULTISPECIES_ iron-sulfur cluster repair di-iron protein ScdA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832102.1 MULTISPECIES_ YaiI_YqxD family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832103.1 MULTISPECIES_ manganese ABC transporter substrate-binding lipoprotein MntC _Staphylococcus_,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001832105.1 MULTISPECIES_ Na__H_ antiporter Mnh2 subunit B _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_001832107.1 MULTISPECIES_ helix-turn-helix transcriptional regulator _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
"WP_001832112.1 MULTISPECIES_ transcriptional regulator, SarA_Rot family _Staphylococcus_",OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832113.1 MULTISPECIES_ hydrogen peroxide-dependent heme synthase _Bacteria_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001832115.1 MULTISPECIES_ GNAT family N-acetyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832117.1 MULTISPECIES_ hypothetical protein _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832119.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001832120.1 MULTISPECIES_ YebC_PmpR family DNA-binding transcriptional regulator _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832121.1 MULTISPECIES_ Na__H_ antiporter Mnh2 subunit E _Staphylococcus_,OTHER,Globular protein,PredHel=3,Cytoplasmic Membrane
WP_001832123.1 MULTISPECIES_ YitT family protein _Staphylococcus_,OTHER,Globular protein,PredHel=5,Cytoplasmic Membrane
WP_001832124.1 MULTISPECIES_ acetyl-CoA C-acyltransferase _Bacteria_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001832125.1 MULTISPECIES_ DMT family transporter _Staphylococcus_,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane
WP_001832127.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832133.1 MULTISPECIES_ threonine_serine exporter family protein _Bacteria_,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane
WP_001832134.1 MULTISPECIES_ HAD family hydrolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832139.1 MULTISPECIES_ metal-dependent transcriptional regulator _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832140.1 MULTISPECIES_ DUF402 domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832142.1 MULTISPECIES_ SA0632 family lipoprotein _Staphylococcus_,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001832143.1 MULTISPECIES_ globin domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832147.1 MULTISPECIES_ sigS mRNA-stabilizing protein SroA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Extracellular
WP_001832151.1 MULTISPECIES_ diphosphomevalonate decarboxylase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832157.1 MULTISPECIES_ ABC transporter ATP-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=6,Cytoplasmic Membrane
WP_001832158.1 MULTISPECIES_ TIGR00730 family Rossman fold protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832160.1 MULTISPECIES_ cation_proton antiporter _Staphylococcus_,OTHER,Globular protein,PredHel=11,Cytoplasmic Membrane
WP_001832167.1 MULTISPECIES_ 3-hexulose-6-phosphate synthase _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832174.1 MULTISPECIES_ alpha_beta fold hydrolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832176.1 MULTISPECIES_ Bax inhibitor-1_YccA family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane
WP_001832177.1 MULTISPECIES_ YkvI family membrane protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane
WP_001832178.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832179.1 MULTISPECIES_ GyrI-like domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832181.1 MULTISPECIES_ inorganic phosphate transporter _Staphylococcus_,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane
WP_001832185.1 MULTISPECIES_ 50S ribosomal protein L25_general stress protein Ctc _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832187.1 MULTISPECIES_ pur operon repressor _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832190.1 MULTISPECIES_ Hsp33 family molecular chaperone HslO _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832193.1 MULTISPECIES_ biofilm formation stimulator Veg _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832195.1 MULTISPECIES_ septation regulator SpoVG _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832196.1 MULTISPECIES_ ribonuclease M5 _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832199.1 MULTISPECIES_ ATP-dependent zinc metalloprotease FtsH _Staphylococcus_,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane
WP_001832200.1 MULTISPECIES_ cyclic-di-AMP receptor _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001832202.1 MULTISPECIES_ ATP-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832203.1 MULTISPECIES_ 4-_cytidine 5_-diphospho_-2-C-methyl-D-erythritol kinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832204.1 MULTISPECIES_ dihydroneopterin aldolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832208.1 MULTISPECIES_ GIY-YIG nuclease family protein _Bacillales_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832209.1 MULTISPECIES_ dihydropteroate synthase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832211.1 MULTISPECIES_ dTMP kinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832213.1 MULTISPECIES_ 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832214.1 MULTISPECIES_ bifunctional UDP-N-acetylglucosamine diphosphorylase_glucosamine-1-phosphate N-acetyltransferase GlmU _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832216.1 MULTISPECIES_ hypoxanthine phosphoribosyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832217.1 MULTISPECIES_ RidA family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832221.1 MULTISPECIES_ aminotransferase class V-fold PLP-dependent enzyme _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic
WP_001832224.1 MULTISPECIES_ 16S rRNA _adenine_1518_-N_6__adenine_1519_-N_6__-dimethyltransferase RsmA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832229.1 MULTISPECIES_ aminoacyl-tRNA hydrolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832233.1 MULTISPECIES_ ribose-phosphate diphosphokinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832235.1 MULTISPECIES_ 16S rRNA _cytidine_1402_-2_-O_-methyltransferase _Bacillota_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832236.1 MULTISPECIES_ MazG nucleotide pyrophosphohydrolase domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832238.1 MULTISPECIES_ DNA replication initiation control protein YabA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832240.1 MULTISPECIES_ PSP1 domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832241.1 MULTISPECIES_ cell division protein DivIC _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_001832242.1 MULTISPECIES_ cysteine synthase A _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832263.1 MULTISPECIES_ NtaA_DmoA family FMN-dependent monooxygenase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832265.1 MULTISPECIES_ UvrB_UvrC motif-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832267.1 MULTISPECIES_ cysteine--tRNA ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832269.1 MULTISPECIES_ NupC_NupG family nucleoside CNT transporter _Staphylococcus_,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane
WP_001832275.1 MULTISPECIES_ ribosomal L7Ae_L30e_S12e_Gadd45 family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832276.1 MULTISPECIES_ GNAT family N-acetyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832278.1 MULTISPECIES_ deoxynucleoside kinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832283.1 MULTISPECIES_ 50S ribosomal protein L7_L12 _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832284.1 MULTISPECIES_ sigma-70 family RNA polymerase sigma factor _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832285.1 MULTISPECIES_ 50S ribosomal protein L33 _Staphylococcus_,OTHER,Globular protein,PredHel=0,Extracellular
WP_001832287.1 MULTISPECIES_ elongation factor G _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832288.1 MULTISPECIES_ CtsR family transcriptional regulator _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832289.1 MULTISPECIES_ elongation factor Tu _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832291.1 MULTISPECIES_ deoxynucleoside kinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832295.1 MULTISPECIES_ tRNA adenosine_34_ deaminase TadA _Bacillales_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832298.1 MULTISPECIES_ 50S ribosomal protein L11 _Bacilli_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832300.1 MULTISPECIES_ ATP-dependent Clp protease ATP-binding subunit _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832301.1 MULTISPECIES_ NADPH-dependent FMN reductase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832302.1 MULTISPECIES_ 3-oxoacyl-ACP reductase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832303.1 MULTISPECIES_ transcription termination_antitermination protein NusG _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001832304.1 MULTISPECIES_ branched-chain amino acid aminotransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
