ProteinID,feature_annotation,GO_annotation,Description,SigP-Prediction,SigP_score,SigP_CS_Position,DLP-prediction,DLP-score,GPApred-prediction,GPApred-score,TMHMM-topology,TMHMM-TM,Phobius-TM,Phobius-prediction,length,s_seq_id,per_ident,length,qlen,slen,evalue,bitscore
WP_001832069.1,None,Unknown,mevalonate kinase ,OTHER,1,None,Cytoplasmic,0.9909,None,None,o,0,0,i,306,None,None,None,None,None,None,None
WP_001832071.1,None,Unknown,teichoic acids export ABC transporter ATP-binding subunit TagH ,OTHER,1,None,Cytoplasmic Membrane,0.6282,None,None,o,0,0,i,264,None,None,None,None,None,None,None
WP_001832075.1,None,Unknown,phosphomevalonate kinase ,OTHER,1,None,Cytoplasmic,0.9758,None,None,o,0,0,i,358,None,None,None,None,None,None,None
WP_001832077.1,None,Cytoplasm,glucosamine-6-phosphate deaminase ,OTHER,1,None,Cytoplasmic,0.9931,None,None,o,0,0,i,243,None,None,None,None,None,None,None
WP_001832078.1,None,Unknown,DUF5327 family protein ,OTHER,1,None,Cytoplasmic,0.777,None,None,o,0,0,i,119,None,None,None,None,None,None,None
WP_001832082.1,None,Unknown,undecaprenyl-diphosphate phosphatase ,OTHER,0.99995,None,Cytoplasmic Membrane,1,None,None,i9-31o46-68i98-117o127-144i161-180o200-222i229-251o266-285i,8,7,o50-68i98-117o123-143i163-181o201-222i234-255o267-287i,290,None,None,None,None,None,None,None
WP_001832084.1,None,Unknown,metal ABC transporter ATP-binding protein ,OTHER,1,None,Cytoplasmic Membrane,0.6106,None,None,o,0,0,i,248,None,None,None,None,None,None,None
WP_001832086.1,None,Unknown,LysM peptidoglycan-binding domain-containing protein ,SP,0.998849,CS pos: 25-26. Pr: 0.9711,Extracellular,0.9775,None,None,o,0,0,n4-14c19/20o,266,None,None,None,None,None,None,None
WP_001832090.1,None,Unknown,DUF1450 domain-containing protein ,OTHER,1,None,Cytoplasmic,0.9934,None,None,o,0,0,i,113,None,None,None,None,None,None,None
WP_001832093.1,None,Unknown,sugar efflux transporter ,OTHER,1,None,Cytoplasmic Membrane,0.9991,None,None,i13-35o45-66i78-95o100-122i142-164o169-191i218-240o255-277i284-303o309-331i338-357o367-389i,12,12,i12-35o47-66i78-97o103-123i144-164o170-191i218-236o256-278i285-303o309-331i338-360o372-390i,402,None,None,None,None,None,None,None
WP_001832096.1,None,Unknown,M50 family metallopeptidase ,OTHER,0.999998,None,Cytoplasmic Membrane,0.9964,None,None,o10-32i95-117o121-143i148-165o171-193i225-247o,6,6,i12-32o96-118i125-142o148-165i172-193o225-243i,248,None,None,None,None,None,None,None
WP_001832099.1,None,Unknown,Na__H_ antiporter Mnh2 subunit G ,OTHER,1,None,Cytoplasmic Membrane,0.9992,None,None,i7-29o49-71i,2,2,i7-31o51-75i,154,None,None,None,None,None,None,None
WP_001832101.1,None,Unknown,iron-sulfur cluster repair di-iron protein ScdA ,OTHER,1,None,Cytoplasmic,0.9983,None,None,o,0,0,i,224,None,None,None,None,None,None,None
WP_001832102.1,None,Unknown,YaiI_YqxD family protein ,OTHER,1,None,Cytoplasmic,0.994,None,None,o,0,0,i,149,None,None,None,None,None,None,None
WP_001832103.1,lipoprotein,Unknown,manganese ABC transporter substrate-binding lipoprotein MntC ,LIPO,1,CS pos: 17-18. Pr: 0.9960,Cytoplasmic Membrane,0.974,None,None,o,0,0,n4-15c19/20o,309,None,None,None,None,None,None,None
WP_001832105.1,None,Unknown,Na__H_ antiporter Mnh2 subunit B ,OTHER,1,None,Cytoplasmic Membrane,0.9968,None,None,i7-29o39-61i73-95o115-137i,4,4,i12-30o36-55i71-89o109-136i,141,None,None,None,None,None,None,None
WP_001832107.1,None,Unknown,helix-turn-helix transcriptional regulator ,OTHER,1,None,Cytoplasmic Membrane,0.4897,None,None,o,0,0,i,724,None,None,None,None,None,None,None
WP_001832112.1,None,Unknown,"transcriptional regulator, SarA_Rot family ",OTHER,1,None,Cytoplasmic,0.8563,None,None,o,0,0,i,119,None,None,None,None,None,None,None
WP_001832113.1,None,Unknown,hydrogen peroxide-dependent heme synthase ,OTHER,1,None,Cytoplasmic,0.9689,None,None,o,0,0,i,249,None,None,None,None,None,None,None
WP_001832115.1,None,Unknown,GNAT family N-acetyltransferase ,OTHER,1,None,Cytoplasmic,0.9159,None,None,o,0,0,i,168,None,None,None,None,None,None,None
WP_001832117.1,None,Unknown,hypothetical protein ,OTHER,1,None,Cytoplasmic,0.9826,None,None,o,0,0,i,86,None,None,None,None,None,None,None
WP_001832119.1,None,Unknown,hypothetical protein ,OTHER,0.999998,None,Cytoplasmic Membrane,0.5943,None,None,o,0,1,o6-23i,226,None,None,None,None,None,None,None
WP_001832121.1,None,Unknown,Na__H_ antiporter Mnh2 subunit E ,OTHER,1,None,Cytoplasmic Membrane,0.9996,None,None,o25-47i60-82o102-120i,3,3,n4-14c18/19o28-46i58-82o102-122i,160,None,None,None,None,None,None,None
WP_001832123.1,None,Unknown,YitT family protein ,OTHER,1,None,Cytoplasmic Membrane,0.9999,None,None,i7-29o44-66i73-92o102-124i145-167o,5,5,i7-27o39-67i74-91o103-134i146-167o,277,None,None,None,None,None,None,None
WP_001832124.1,None,Unknown,acetyl-CoA C-acyltransferase ,OTHER,1,None,Cytoplasmic,0.9802,None,None,o,0,0,i,382,None,None,None,None,None,None,None
WP_001832125.1,None,Unknown,DMT family transporter ,OTHER,0.999961,None,Cytoplasmic Membrane,0.9999,None,None,o4-25i32-54o69-91i98-120o126-148i160-182o192-214i233-255o259-281i293-308o,10,10,o6-21i33-53o73-91i98-122o128-149i161-181o193-213i233-251o257-281i293-308o,309,None,None,None,None,None,None,None
WP_001832127.1,None,Unknown,hypothetical protein ,OTHER,0.999807,None,Cytoplasmic,0.7315,None,None,o,0,0,i,166,None,None,None,None,None,None,None
WP_001832133.1,None,Unknown,threonine_serine exporter family protein ,OTHER,0.99995,None,Cytoplasmic Membrane,0.9984,None,None,o4-21i28-45o49-71i78-97o112-131i,5,5,o6-22i27-46o52-72i79-100o120-140i,150,None,None,None,None,None,None,None
WP_001832134.1,None,Unknown,HAD family hydrolase ,OTHER,1,None,Cytoplasmic,0.9618,None,None,o,0,0,i,242,None,None,None,None,None,None,None
WP_001832139.1,None,Unknown,metal-dependent transcriptional regulator ,OTHER,1,None,Cytoplasmic,0.9838,None,None,o,0,0,i,214,None,None,None,None,None,None,None
WP_001832140.1,None,Unknown,DUF402 domain-containing protein ,OTHER,1,None,Cytoplasmic,0.7225,None,None,i,0,0,i,197,None,None,None,None,None,None,None
WP_001832143.1,None,Unknown,globin domain-containing protein ,OTHER,1,None,Cytoplasmic,0.9558,None,None,o,0,0,i,381,None,None,None,None,None,None,None
WP_001832147.1,None,Unknown,sigS mRNA-stabilizing protein SroA ,OTHER,1,None,Extracellular,0.6816,None,None,i,0,0,i,68,None,None,None,None,None,None,None
WP_001832151.1,None,Unknown,diphosphomevalonate decarboxylase ,OTHER,1,None,Cytoplasmic,0.9324,None,None,o,0,0,i,327,None,None,None,None,None,None,None
WP_001832157.1,None,Unknown,ABC transporter ATP-binding protein ,OTHER,1,None,Cytoplasmic Membrane,0.9986,None,None,i21-43o58-80i134-153o158-180i238-260o270-292i,6,6,i20-42o54-80i134-154o160-179i240-263o269-292i,575,None,None,None,None,None,None,None
WP_001832158.1,None,Unknown,TIGR00730 family Rossman fold protein ,OTHER,1,None,Cytoplasmic,0.9961,None,None,o,0,0,i,188,None,None,None,None,None,None,None
WP_001832160.1,None,Unknown,cation_proton antiporter ,OTHER,1,None,Cytoplasmic Membrane,0.9999,None,None,i7-24o29-51i84-106o110-132i152-174o184-206i227-249o274-296i308-330o368-390i403-425o,11,13,o6-24i31-49o55-72i84-107o113-134i155-177o183-204i216-233o239-255i276-297o309-337i365-391o403-425i,679,None,None,None,None,None,None,None
WP_001832167.1,None,Cytoplasm,3-hexulose-6-phosphate synthase ,OTHER,1,None,Cytoplasmic,0.9629,None,None,o,0,0,i,210,None,None,None,None,None,None,None
WP_001832174.1,None,Unknown,alpha_beta fold hydrolase ,OTHER,1,None,Cytoplasmic,0.8007,None,None,o,0,0,i,258,None,None,None,None,None,None,None
WP_001832176.1,None,Unknown,Bax inhibitor-1_YccA family protein ,OTHER,1,None,Cytoplasmic Membrane,0.9794,None,None,i28-50o55-70i77-96o111-130i135-157o161-180i,6,6,i27-46o52-70i77-96o108-130i139-157o163-180i,219,None,None,None,None,None,None,None
WP_001832177.1,None,Unknown,YkvI family membrane protein ,OTHER,1,None,Cytoplasmic Membrane,0.9999,None,None,i7-26o36-55i85-104o114-136i143-165o185-207i214-236o264-286i298-317o327-344i,10,10,i7-24o36-54i85-103o115-136i143-164o184-206i218-238o262-286i298-317o323-344i,355,None,None,None,None,None,None,None
WP_001832178.1,None,Unknown,hypothetical protein ,OTHER,1,None,Cytoplasmic,0.6515,None,None,o,0,0,i,98,None,None,None,None,None,None,None
WP_001832179.1,None,Unknown,GyrI-like domain-containing protein ,OTHER,1,None,Cytoplasmic,0.9809,None,None,o,0,0,i,154,None,None,None,None,None,None,None
WP_001832181.1,None,Unknown,inorganic phosphate transporter ,OTHER,1,None,Cytoplasmic Membrane,0.9999,None,None,o4-24i45-67o82-104i111-133o137-159i309-331o,6,6,o6-24i45-67o79-103i110-131o137-163i310-335o,336,None,None,None,None,None,None,None
WP_001832185.1,None,Unknown,50S ribosomal protein L25_general stress protein Ctc ,OTHER,1,None,Cytoplasmic,0.9116,None,None,o,0,0,i,219,None,None,None,None,None,None,None
WP_001832190.1,None,Unknown,Hsp33 family molecular chaperone HslO ,OTHER,1,None,Cytoplasmic,0.9961,None,None,o,0,0,i,293,None,None,None,None,None,None,None
WP_001832193.1,None,Unknown,biofilm formation stimulator Veg ,OTHER,1,None,Cytoplasmic,0.992,None,None,o,0,0,i,87,None,None,None,None,None,None,None
WP_001832196.1,None,Unknown,ribonuclease M5 ,OTHER,1,None,Cytoplasmic,0.9993,None,None,o,0,0,i,181,None,None,None,None,None,None,None
WP_001832199.1,None,Unknown,ATP-dependent zinc metalloprotease FtsH ,OTHER,0.999885,None,Cytoplasmic Membrane,0.9943,None,None,o4-26i110-132o,2,2,i7-25o110-133i,700,None,None,None,None,None,None,None
WP_001832202.1,None,Unknown,ATP-binding protein ,OTHER,1,None,Cytoplasmic,0.7064,None,None,o,0,0,i,308,None,None,None,None,None,None,None
WP_001832203.1,None,Unknown,4-_cytidine 5_-diphospho_-2-C-methyl-D-erythritol kinase ,OTHER,1,None,Cytoplasmic,0.9588,None,None,o,0,0,i,282,None,None,None,None,None,None,None
WP_001832204.1,None,Unknown,dihydroneopterin aldolase ,OTHER,1,None,Cytoplasmic,0.9965,None,None,o,0,0,i,121,None,None,None,None,None,None,None
WP_001832208.1,None,Unknown,GIY-YIG nuclease family protein ,OTHER,1,None,Cytoplasmic,0.9479,None,None,o,0,0,i,82,None,None,None,None,None,None,None
WP_001832209.1,None,Cytoplasm,dihydropteroate synthase ,OTHER,1,None,Cytoplasmic,0.9987,None,None,o,0,0,i,272,None,None,None,None,None,None,None
WP_001832211.1,None,Cytoplasm,dTMP kinase ,OTHER,1,None,Cytoplasmic,0.9954,None,None,o,0,0,i,203,None,None,None,None,None,None,None
WP_001832213.1,None,Unknown,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase ,OTHER,1,None,Cytoplasmic,0.9972,None,None,o,0,0,i,159,None,None,None,None,None,None,None
WP_001832214.1,None,Unknown,bifunctional UDP-N-acetylglucosamine diphosphorylase_glucosamine-1-phosphate N-acetyltransferase GlmU ,OTHER,1,None,Cytoplasmic,0.998,None,None,o,0,0,i,451,None,None,None,None,None,None,None
WP_001832217.1,None,Unknown,RidA family protein ,OTHER,1,None,Cytoplasmic,0.9884,None,None,o,0,0,i,126,None,None,None,None,None,None,None
WP_001832221.1,None,Unknown,aminotransferase class V-fold PLP-dependent enzyme ,OTHER,1,None,Cytoplasmic,0.9787,None,None,i74-93o,1,0,i,445,None,None,None,None,None,None,None
WP_001832224.1,None,Cytoplasm,16S rRNA ,OTHER,1,None,Cytoplasmic,0.9984,None,None,o,0,0,i,296,None,None,None,None,None,None,None
WP_001832229.1,None,Unknown,aminoacyl-tRNA hydrolase ,OTHER,1,None,Cytoplasmic,0.9985,None,None,o,0,0,i,190,None,None,None,None,None,None,None
WP_001832235.1,None,Unknown,16S rRNA ,OTHER,1,None,Cytoplasmic,0.9982,None,None,o,0,0,i,279,None,None,None,None,None,None,None
WP_001832236.1,None,Unknown,MazG nucleotide pyrophosphohydrolase domain-containing protein ,OTHER,1,None,Cytoplasmic,0.9964,None,None,o,0,0,i,396,None,None,None,None,None,None,None
WP_001832238.1,None,Unknown,DNA replication initiation control protein YabA ,OTHER,1,None,Cytoplasmic,0.998,None,None,o,0,0,i,115,None,None,None,None,None,None,None
WP_001832240.1,None,Cytoplasm,PSP1 domain-containing protein ,OTHER,1,None,Cytoplasmic,0.99,None,None,o,0,0,i,267,None,None,None,None,None,None,None
WP_001832241.1,None,Unknown,cell division protein DivIC ,OTHER,0.999994,None,Cytoplasmic Membrane,0.9945,None,None,i34-56o,1,1,i34-54o,133,None,None,None,None,None,None,None
WP_001832263.1,None,Unknown,NtaA_DmoA family FMN-dependent monooxygenase ,OTHER,0.999844,None,Cytoplasmic,0.9007,None,None,o,0,0,i,434,None,None,None,None,None,None,None
WP_001832265.1,None,Unknown,UvrB_UvrC motif-containing protein ,OTHER,1,None,Cytoplasmic,0.99,None,None,o,0,0,i,187,None,None,None,None,None,None,None
WP_001832267.1,None,Cytoplasm,cysteine--tRNA ligase ,OTHER,1,None,Cytoplasmic,0.9973,None,None,o,0,0,i,466,None,None,None,None,None,None,None
WP_001832269.1,None,Cytoplasmic_membrane,NupC_NupG family nucleoside CNT transporter ,OTHER,1,None,Cytoplasmic Membrane,0.9997,None,None,o4-22i29-47o62-84i91-113o167-189i194-216o251-273i286-308o346-368i381-403o,10,11,n4-16c21/22o31-51i63-84o90-109i114-131o137-155i167-188o194-216i244-269o289-308i345-367o379-403i,404,None,None,None,None,None,None,None
WP_001832275.1,None,Unknown,ribosomal L7Ae_L30e_S12e_Gadd45 family protein ,OTHER,1,None,Cytoplasmic,0.9904,None,None,o,0,0,i,86,None,None,None,None,None,None,None
WP_001832276.1,None,Unknown,GNAT family N-acetyltransferase ,OTHER,1,None,Cytoplasmic,0.8323,None,None,o,0,0,i,169,None,None,None,None,None,None,None
WP_001832278.1,None,Unknown,deoxynucleoside kinase ,OTHER,1,None,Cytoplasmic,0.913,None,None,o,0,0,i,205,None,None,None,None,None,None,None
WP_001832284.1,None,Unknown,sigma-70 family RNA polymerase sigma factor ,OTHER,1,None,Cytoplasmic,0.6382,None,None,o,0,0,i,191,None,None,None,None,None,None,None
WP_001832288.1,None,Unknown,CtsR family transcriptional regulator ,OTHER,1,None,Cytoplasmic,0.825,None,None,o,0,0,i,153,None,None,None,None,None,None,None
WP_001832291.1,None,Unknown,deoxynucleoside kinase ,OTHER,1,None,Cytoplasmic,0.9907,None,None,o,0,0,i,220,None,None,None,None,None,None,None
WP_001832295.1,None,Unknown,tRNA adenosine_34_ deaminase TadA ,OTHER,1,None,Cytoplasmic,0.9956,None,None,o,0,0,i,168,None,None,None,None,None,None,None
WP_001832301.1,None,Cytoplasm,NADPH-dependent FMN reductase ,OTHER,1,None,Cytoplasmic,0.9497,None,None,o,0,0,i,188,None,None,None,None,None,None,None
WP_001832302.1,None,Unknown,3-oxoacyl-ACP reductase ,OTHER,1,None,Cytoplasmic,0.9107,None,None,o,0,0,i,250,None,None,None,None,None,None,None
WP_001832304.1,None,Unknown,branched-chain amino acid aminotransferase ,OTHER,1,None,Cytoplasmic,0.9183,None,None,o,0,0,i,358,None,None,None,None,None,None,None
WP_001832305.1,None,Unknown,CDP-glycerol--poly_glycerophosphate_ glycerophosphotransferase ,OTHER,1,None,Cytoplasmic Membrane,0.9435,None,None,o,0,0,i,564,None,None,None,None,None,None,None
WP_001832307.1,None,Unknown,NAD-dependent epimerase_dehydratase family protein ,OTHER,1,None,Cytoplasmic,0.7699,None,None,o,0,0,i,318,None,None,None,None,None,None,None
WP_001832309.1,None,Unknown,alcohol dehydrogenase catalytic domain-containing protein ,OTHER,1,None,Cytoplasmic,0.9719,None,None,o,0,0,i,343,None,None,None,None,None,None,None
WP_001832310.1,None,Unknown,glutamate--tRNA ligase ,OTHER,1,None,Cytoplasmic,0.9995,None,None,o,0,0,i,484,None,None,None,None,None,None,None
WP_001832311.1,None,Unknown,IspD_TarI family cytidylyltransferase ,OTHER,1,None,Cytoplasmic,0.9422,None,None,o,0,0,i,238,None,None,None,None,None,None,None
WP_001832313.1,None,Cell_wall,PIN_TRAM domain-containing protein ,OTHER,1,None,Cytoplasmic Membrane,0.9982,None,None,i7-29o39-61i82-104o114-133i,4,4,i7-28o40-62i83-103o115-133i,352,None,None,None,None,None,None,None
WP_001832317.1,None,Unknown,NYN domain-containing protein ,OTHER,1,None,Cytoplasmic,0.9558,None,None,o,0,0,i,175,None,None,None,None,None,None,None
WP_001832318.1,None,Unknown,HAD family hydrolase ,OTHER,1,None,Cytoplasmic,0.957,None,None,o,0,0,i,231,None,None,None,None,None,None,None
WP_001832320.1,None,Unknown,poly-gamma-glutamate biosynthesis protein PgsC ,OTHER,1,None,Cytoplasmic Membrane,0.9979,None,None,i7-29o44-66i78-100o127-149i,4,4,n6-16c21/22o45-65i77-97o103-120i127-149o,150,None,None,None,None,None,None,None
WP_001832326.1,None,Unknown,PTS sugar transporter subunit IIC ,OTHER,1,None,Cytoplasmic Membrane,0.9868,None,None,o5-27i34-56o76-98i103-120o130-152i172-191o201-223i256-278o303-325i,9,10,i7-27o33-58i70-97o103-120i127-152o172-191i198-224o252-273i280-297o303-324i,347,None,None,None,None,None,None,None
WP_001832328.1,None,Unknown,aminotransferase class I_II-fold pyridoxal phosphate-dependent enzyme ,OTHER,1,None,Cytoplasmic,0.9895,None,None,o,0,0,i,386,None,None,None,None,None,None,None
WP_001832332.1,None,Unknown,FeoA family protein ,OTHER,1,None,Cytoplasmic,0.9368,None,None,o,0,0,i,75,None,None,None,None,None,None,None
WP_001832336.1,None,Unknown,hypothetical protein ,OTHER,1,None,Cytoplasmic,0.5225,None,None,o,0,0,i,261,None,None,None,None,None,None,None
WP_001832339.1,None,Cytoplasmic_membrane,glucose-specific PTS transporter subunit IIBC ,OTHER,0.965599,None,Cytoplasmic Membrane,0.9989,None,None,i12-34o60-82i89-111o126-148i169-191o211-233i303-321o326-348i353-375o380-402i,10,10,i12-36o73-101i122-150o170-190i211-232o278-296i303-320o326-350i357-374o380-402i,675,None,None,None,None,None,None,None
WP_001832342.1,None,Unknown,pyruvate oxidase ,OTHER,1,None,Cytoplasmic,0.5229,None,None,o,0,0,i,579,None,None,None,None,None,None,None
WP_001832343.1,None,Unknown,CPBP family intramembrane glutamic endopeptidase ,OTHER,1,None,Cytoplasmic Membrane,0.9941,None,None,i26-48o58-80i100-122o148-170i182-200o204-222i235-254o,7,7,i21-46o58-75i96-120o148-170i182-198o204-221i233-254o,255,None,None,None,None,None,None,None
WP_001832344.1,None,Unknown,copper chaperone CopZ ,OTHER,1,None,Cytoplasmic,0.9937,None,None,i,0,0,i,68,None,None,None,None,None,None,None
WP_001832353.1,None,Unknown,CidA_LrgA family protein ,OTHER,1,None,Cytoplasmic Membrane,0.9998,None,None,i7-25o30-49i61-82o92-114i,4,4,i7-25o31-53i65-86o92-114i,130,None,None,None,None,None,None,None
WP_001832356.1,None,Unknown,ferrous iron transport protein B ,OTHER,1,None,Cytoplasmic Membrane,0.9994,None,None,i280-302o343-365i386-408o423-445i452-471o516-538i606-628o638-660i,8,9,i280-301o342-366i420-446o452-472i514-532o544-561i568-588o608-628i637-659o,664,None,None,None,None,None,None,None
WP_001832358.1,None,Unknown,D-lactate dehydrogenase ,OTHER,1,None,Cytoplasmic,0.9987,None,None,o,0,0,i,332,None,None,None,None,None,None,None
WP_001832362.1,None,Unknown,YitT family protein ,OTHER,1,None,Cytoplasmic Membrane,0.9995,None,None,i13-35o50-72i79-101o111-133i154-176o,5,5,i12-32o52-72i79-100o112-142i154-183o,282,None,None,None,None,None,None,None
WP_001832364.1,None,Unknown,sterile alpha motif-like domain-containing protein ,OTHER,1,None,Cytoplasmic,0.759,None,None,o,0,0,i,71,None,None,None,None,None,None,None
WP_001832365.1,None,Unknown,heavy metal translocating P-type ATPase ,OTHER,1,None,Cytoplasmic Membrane,0.9998,None,None,i159-181o191-213i225-244o254-273i406-428o443-465i747-769o,7,8,i160-179o191-213i225-243o255-273i410-432o438-458i747-767o773-789i,794,None,None,None,None,None,None,None
WP_001832366.1,None,Cytoplasm,cidABC operon transcriptional activator CidR ,OTHER,1,None,Cytoplasmic,0.9916,None,None,o,0,0,i,294,None,None,None,None,None,None,None
WP_001832367.1,None,Unknown,LrgB family protein ,OTHER,0.999994,None,Cytoplasmic Membrane,0.9994,None,None,o4-21i30-52o62-80i89-111o147-169i204-226o,6,6,o6-21i33-54o60-80i92-115o148-168i204-228o,229,None,None,None,None,None,None,None
WP_001832382.1,None,Unknown,urease accessory protein UreE ,OTHER,1,None,Cytoplasmic,0.9986,None,None,o,0,0,i,150,None,None,None,None,None,None,None
WP_001832383.1,None,Unknown,urease subunit beta ,OTHER,1,None,Cytoplasmic,0.8864,None,None,o,0,0,i,133,None,None,None,None,None,None,None
WP_001832399.1,None,Unknown,urease subunit alpha ,OTHER,1,None,Cytoplasmic,0.7853,None,None,o,0,0,i,571,None,None,None,None,None,None,None
WP_001832402.1,None,Unknown,urease subunit gamma ,OTHER,1,None,Cytoplasmic,0.9889,None,None,i,0,0,i,100,None,None,None,None,None,None,None
WP_001832403.1,None,Unknown,molybdenum cofactor guanylyltransferase MobA ,OTHER,1,None,Cytoplasmic,0.7949,None,None,o,0,0,i,201,None,None,None,None,None,None,None
WP_001832405.1,None,Unknown,urea transporter ,OTHER,1,None,Cytoplasmic Membrane,0.9988,None,None,i21-43o88-110i115-132o172-194i199-216o226-243i250-272o276-295i,8,9,o24-52i64-82o88-106i115-132o172-193i200-221o227-243i250-272o278-295i,300,None,None,None,None,None,None,None
WP_001832410.1,None,Unknown,urease accessory protein UreG ,OTHER,1,None,Cytoplasmic,0.9599,None,None,o,0,0,i,204,None,None,None,None,None,None,None
WP_001832412.1,None,Cytoplasm,SarA family transcriptional regulator ,OTHER,1,None,Cytoplasmic,0.9289,None,None,o,0,0,i,114,None,None,None,None,None,None,None
WP_001832414.1,None,Unknown,SarA family transcriptional regulator ,OTHER,1,None,Cytoplasmic,0.9011,None,None,o,0,0,i,116,None,None,None,None,None,None,None
WP_001832423.1,None,Cytoplasmic_membrane,biotin transporter BioY ,OTHER,1,None,Cytoplasmic Membrane,0.9998,None,None,i5-22o27-49i56-73o78-100i113-135o150-172i,6,6,i7-25o31-48i55-72o78-100i112-141o147-172i,182,None,None,None,None,None,None,None
WP_001832425.1,None,Unknown,PH domain-containing protein ,OTHER,1,None,Cytoplasmic,0.9049,None,None,o,0,0,i,107,None,None,None,None,None,None,None
WP_001832450.1,None,Unknown,methionine ABC transporter ATP-binding protein ,OTHER,1,None,Cytoplasmic Membrane,0.8282,None,None,o,0,0,i,341,None,None,None,None,None,None,None
WP_001832455.1,None,Cytoplasm,glutamate synthase large subunit ,OTHER,1,None,Cytoplasmic,0.7559,None,None,o,0,0,i,1498,None,None,None,None,None,None,None
WP_001832460.1,None,Unknown,glycosyltransferase ,OTHER,1,None,Cytoplasmic,0.794,None,None,o,0,0,i,501,None,None,None,None,None,None,None
WP_001832467.1,None,Unknown,aminopeptidase ,OTHER,1,None,Cytoplasmic,0.9825,None,None,o,0,0,i,413,None,None,None,None,None,None,None
WP_001832476.1,None,Cytoplasm,ammonia-dependent NAD___ synthetase ,OTHER,1,None,Cytoplasmic,0.9807,None,None,o,0,0,i,275,None,None,None,None,None,None,None
WP_001832478.1,None,Unknown,MutS-related protein ,OTHER,1,None,Cytoplasmic Membrane,0.99,None,None,o6-28i158-177o182-199i257-279o,4,4,o6-28i158-175o181-199i261-279o,538,None,None,None,None,None,None,None
WP_001832482.1,None,Unknown,type 1 glutamine amidotransferase ,OTHER,1,None,Cytoplasmic,0.7488,None,None,o,0,0,i,241,None,None,None,None,None,None,None
WP_001832485.1,None,Unknown,tRNA ,OTHER,1,None,Cytoplasmic,0.9977,None,None,o,0,0,i,220,None,None,None,None,None,None,None
WP_001832516.1,None,Unknown,Na__H_ antiporter subunit A ,OTHER,1,None,Cytoplasmic Membrane,0.9999,None,None,o5-24i31-53o79-101i108-127o131-153i165-187o202-221i228-250o265-287i300-322o332-354i375-397o429-451i472-494o526-548i591-613o623-641i646-668o672-694i707-729o767-784i,21,21,o6-25i32-54o74-99i111-127o133-153i165-187o207-232i244-266o272-289i301-325o337-361i373-395o429-451i472-495o526-548i591-611o623-642i649-666o672-693i705-728o767-784i,801,None,None,None,None,None,None,None
WP_001832522.1,None,Unknown,ribonuclease P protein component ,OTHER,1,None,Cytoplasmic,0.7852,None,None,i,0,0,i,115,None,None,None,None,None,None,None
WP_001832525.1,None,Unknown,DHH family phosphoesterase ,OTHER,1,None,Cytoplasmic Membrane,0.9937,None,None,o10-32i34-53o,2,2,i9-30o36-54i,655,None,None,None,None,None,None,None
WP_001832526.1,None,Unknown,mechanosensitive ion channel family protein ,OTHER,1,None,Cytoplasmic Membrane,0.9982,None,None,o28-49i69-91o101-120i,3,3,o24-49i70-94o100-120i,291,None,None,None,None,None,None,None
WP_001832528.1,None,Unknown,IS200_IS605-like element ISSep3 family transposase ,OTHER,1,None,Cytoplasmic,0.8871,None,None,o,0,0,i,160,None,None,None,None,None,None,None
WP_001832531.1,None,Unknown,APC family permease ,OTHER,1,None,Cytoplasmic Membrane,0.9995,None,None,i21-43o53-72i93-115o138-160i173-195o210-229i249-271o295-317i348-365o375-397i410-429o434-456i,12,12,i21-43o49-72i93-120o140-161i173-198o210-229i249-272o292-325i346-365o371-395i407-428o434-456i,496,None,None,None,None,None,None,None
WP_001832548.1,None,Unknown,TIGR00282 family metallophosphoesterase ,OTHER,1,None,Cytoplasmic,0.998,None,None,o,0,0,i,264,None,None,None,None,None,None,None
WP_001832553.1,None,Unknown,DNA mismatch repair protein MutS ,OTHER,1,None,Cytoplasmic,0.9863,None,None,o,0,0,i,873,None,None,None,None,None,None,None
WP_001832558.1,None,Unknown,poly-gamma-glutamate hydrolase family protein ,OTHER,1,None,Cytoplasmic,0.7961,None,None,o,0,0,i,205,None,None,None,None,None,None,None
WP_001832559.1,None,Unknown,ribosome maturation factor RimM ,OTHER,1,None,Cytoplasmic,0.9997,None,None,o,0,0,i,167,None,None,None,None,None,None,None
WP_001832561.1,None,Cytoplasm,isoprenyl transferase ,OTHER,1,None,Cytoplasmic,0.9371,None,None,o,0,0,i,256,None,None,None,None,None,None,None
WP_001832563.1,None,Unknown,bifunctional riboflavin kinase_FAD synthetase ,OTHER,1,None,Cytoplasmic,0.9996,None,None,o,0,0,i,323,None,None,None,None,None,None,None
WP_001832565.1,None,Unknown,helix-turn-helix domain-containing protein ,OTHER,1,None,Cytoplasmic Membrane,0.996,None,None,i107-129o,1,1,i108-129o,130,None,None,None,None,None,None,None
WP_001832566.1,None,Cytoplasm,glycerol-3-phosphate dehydrogenase_oxidase ,OTHER,0.999925,None,Cytoplasmic,0.7136,None,None,o,0,0,i,557,None,None,None,None,None,None,None
WP_001832569.1,None,Unknown,EF-P 5-aminopentanol modification-associated protein YfmH ,OTHER,1,None,Cytoplasmic,0.9313,None,None,o,0,0,i,429,None,None,None,None,None,None,None
