qseqid	sseqid	pident	length	evalue	bitscore
WP_001831107.1	sp|Q2G2B2|SASG_STAA8	40.741	27	3.5	20.4
WP_001831107.1	sp|Q2G2B2|SASG_STAA8	40.741	27	3.5	20.4
WP_001831107.1	sp|Q2G2B2|SASG_STAA8	40.741	27	3.5	20.4
WP_001831107.1	sp|Q2G2B2|SASG_STAA8	40.741	27	3.5	20.4
WP_001831107.1	sp|Q2G2B2|SASG_STAA8	40.741	27	3.5	20.4
WP_080388512.1	sp|Q2FJ78|SDRD_STAA3	40.678	59	3.5	25.4
WP_001832932.1	sp|Q53654|CNA_STAAU	40	15	3.5	16.2
WP_001832932.1	sp|Q53654|CNA_STAAU	40	15	3.5	16.2
WP_001833080.1	sp|Q2FHV1|ISDA_STAA3	40	25	3.5	20.8
WP_001831535.1	sp|Q2FE03|FNBA_STAA3	39.286	28	3.5	18.1
WP_001831133.1	sp|Q5HCR7|CLFB_STAAC	39.024	41	3.5	19.2
WP_001829952.1	sp|Q5HCR7|CLFB_STAAC	38.462	13	3.5	18.5
WP_001830056.1	sp|Q53654|CNA_STAAU	38.462	13	3.5	16.9
WP_002489285.1	sp|Q2FUW1|SRAP_STAA8	38.235	34	3.5	20
WP_001831121.1	sp|Q2G2B2|SASG_STAA8	38.095	21	3.5	20.4
WP_001831206.1	sp|P80544|PLS_STAAU	38.095	21	3.5	20.4
WP_002456552.1	sp|O33635|ATL_STAEP	38.095	21	3.5	18.5
WP_002486059.1	sp|Q2G2B2|SASG_STAA8	38.095	21	3.5	19.6
WP_002437887.1	sp|Q2FJ78|SDRD_STAA3	37.5	24	3.5	18.5
WP_002455963.1	sp|Q53654|CNA_STAAU	37.5	24	3.5	20
WP_002489707.1	sp|Q2FHV1|ISDA_STAA3	37.037	27	3.5	20
WP_025987217.1	sp|Q2FUW1|SRAP_STAA8	36.364	22	3.5	18.1
WP_001829760.1	sp|Q2FE03|FNBA_STAA3	36	25	3.5	18.9
WP_001829792.1	sp|Q53654|CNA_STAAU	35.714	14	3.5	17.3
WP_002484891.1	sp|Q2FJ77|SDRE_STAA3	35.484	31	3.5	20.4
WP_001831625.1	sp|A6QF98|EMP_STAAE	35.294	34	3.5	20.8
WP_001832784.1	sp|O33635|ATL_STAEP	35.294	34	3.5	20.4
WP_001830343.1	sp|Q2G2B2|SASG_STAA8	34.483	29	3.5	20.8
WP_001832708.1	sp|O33635|ATL_STAEP	34.286	35	3.5	19.2
WP_002438309.1	sp|Q2FE03|FNBA_STAA3	34.043	47	3.5	21.6
WP_001831247.1	sp|Q2FJ77|SDRE_STAA3	33.333	36	3.5	20
WP_002438787.1	sp|Q2G2B2|SASG_STAA8	33.333	51	3.5	20.4
WP_002456741.1	sp|Q5HCR7|CLFB_STAAC	33.333	33	3.5	21.2
WP_002489285.1	tr|A0A390J584|A0A390J584_STAAU	33.333	27	3.5	19.6
WP_002387625.1	sp|Q53654|CNA_STAAU	32.5	40	3.5	19.6
WP_002387625.1	sp|Q53654|CNA_STAAU	32.5	40	3.5	19.6
WP_002387625.1	sp|Q53654|CNA_STAAU	32.5	40	3.5	19.6
WP_001831303.1	sp|O33635|ATL_STAEP	32.143	28	3.5	18.5
WP_002456615.1	sp|Q2FHV1|ISDA_STAA3	31.915	47	3.5	20.4
WP_001831625.1	sp|Q53654|CNA_STAAU	30.508	59	3.5	20.8
WP_001831625.1	sp|Q53654|CNA_STAAU	30.508	59	3.5	20.8
WP_002485286.1	sp|O86487|SDRC_STAAE	30.303	33	3.5	19.6
WP_001830043.1	sp|Q2FJ78|SDRD_STAA3	30.233	43	3.5	20.4
WP_002494345.1	sp|Q53654|CNA_STAAU	30	20	3.5	20.8
WP_002494345.1	sp|Q53654|CNA_STAAU	30	20	3.5	20.8
WP_002494345.1	sp|Q53654|CNA_STAAU	30	20	3.5	20.8
WP_001831227.1	sp|Q2FJ77|SDRE_STAA3	29.73	37	3.5	20.8
WP_000790334.1	sp|Q53654|CNA_STAAU	29.167	48	3.5	19.6
WP_001830829.1	sp|A0A0H2XI99|ESXA_STAA3	29.167	48	3.5	19.2
WP_002437258.1	sp|Q2G2B2|SASG_STAA8	29.167	48	3.5	19.2
WP_001829410.1	sp|P80544|PLS_STAAU	29.091	55	3.5	19.2
WP_001829630.1	sp|O33635|ATL_STAEP	29.091	55	3.5	20
WP_001830628.1	sp|Q2FE03|FNBA_STAA3	28.846	52	3.5	20
WP_000162894.1	sp|Q53654|CNA_STAAU	28.788	66	3.5	20
WP_001832044.1	sp|Q7A656|ISDB_STAAN	28.571	56	3.5	20
WP_001831215.1	sp|Q2G2B2|SASG_STAA8	28.125	32	3.5	17.7
WP_001832558.1	sp|Q2FJ78|SDRD_STAA3	28.125	32	3.5	19.6
WP_001832732.1	sp|Q2FJ77|SDRE_STAA3	27.907	43	3.5	20.4
WP_001832217.1	sp|Q2FJ78|SDRD_STAA3	26.506	83	3.5	18.5
WP_002469356.1	sp|Q8NW39|ISDH_STAAW	26.471	102	3.5	20
WP_002437151.1	sp|Q2FHV1|ISDA_STAA3	26.415	53	3.5	20
WP_001832046.1	sp|Q2FUW1|SRAP_STAA8	26.087	46	3.5	19.6
WP_001830129.1	sp|Q2G2B2|SASG_STAA8	25.843	89	3.5	20.8
WP_001830129.1	sp|Q2G2B2|SASG_STAA8	25.843	89	3.5	20.8
WP_001830129.1	sp|Q2G2B2|SASG_STAA8	25.843	89	3.5	20.8
WP_001830129.1	sp|Q2G2B2|SASG_STAA8	25.843	89	3.5	20.8
WP_002437763.1	sp|P80544|PLS_STAAU	25.758	66	3.5	19.2
WP_001832780.1	sp|Q53654|CNA_STAAU	25.333	75	3.5	20.4
WP_001831616.1	sp|Q7A656|ISDB_STAAN	25	28	3.5	20.4
WP_001831939.1	sp|Q2FJ78|SDRD_STAA3	25	24	3.5	20
WP_002439538.1	sp|A6QF98|EMP_STAAE	25	76	3.5	20.8
WP_001831509.1	sp|Q53653|CLFA_STAAE	24.691	81	3.5	21.2
WP_001831744.1	sp|O33635|ATL_STAEP	24.691	81	3.5	20.8
WP_002447173.1	sp|Q53653|CLFA_STAAE	24.286	70	3.5	21.2
WP_001832032.1	sp|Q53654|CNA_STAAU	23.684	76	3.5	20.4
WP_001829922.1	sp|Q2G2B2|SASG_STAA8	22.901	131	3.5	20.8
WP_001829926.1	sp|Q53654|CNA_STAAU	22.581	31	3.5	20.4
WP_001829791.1	sp|Q2G2B2|SASG_STAA8	22.222	126	3.5	19.6
WP_002447891.1	tr|A0A0U3TLJ6|A0A0U3TLJ6_STAAU	22.222	36	3.5	17.3
WP_002494710.1	sp|Q2G2B2|SASG_STAA8	21.739	69	3.5	20.4
WP_002447894.1	sp|Q2FJ77|SDRE_STAA3	20.27	74	3.5	20.8
WP_001832304.1	sp|Q2FE03|FNBA_STAA3	72.727	11	3.6	20.4
WP_138936984.1	sp|Q7A656|ISDB_STAAN	63.636	11	3.6	22.3
WP_001831576.1	sp|Q53654|CNA_STAAU	60	10	3.6	19.6
WP_002469303.1	sp|Q2FJ77|SDRE_STAA3	57.143	14	3.6	20
WP_002486054.1	sp|Q2FJ78|SDRD_STAA3	57.143	14	3.6	20
WP_001829658.1	sp|P0C047|ESXB_STAAE	54.545	11	3.6	17.3
WP_001830444.1	sp|P0C047|ESXB_STAAE	53.846	13	3.6	19.2
WP_001831206.1	sp|Q2FE03|FNBA_STAA3	52.381	21	3.6	20.4
WP_001832767.1	sp|Q53654|CNA_STAAU	52.381	21	3.6	19.6
WP_001831015.1	sp|Q2G2B2|SASG_STAA8	50	14	3.6	17.7
WP_001831035.1	sp|Q7A656|ISDB_STAAN	50	16	3.6	16.9
WP_002439655.1	sp|Q2FUW1|SRAP_STAA8	50	22	3.6	21.6
WP_049387541.1	sp|A6QF98|EMP_STAAE	50	16	3.6	21.2
WP_001832023.1	sp|O33635|ATL_STAEP	47.368	19	3.6	18.5
WP_001832781.1	tr|A0A1L7H885|A0A1L7H885_STAAU	47.368	19	3.6	20
WP_001829660.1	sp|Q53653|CLFA_STAAE	47.059	17	3.6	19.6
WP_002494717.1	sp|O86487|SDRC_STAAE	46.154	13	3.6	20.4
WP_002495598.1	sp|Q2FJ78|SDRD_STAA3	45.455	22	3.6	20.4
WP_001830640.1	sp|Q2FE03|FNBA_STAA3	44	25	3.6	17.7
WP_001832526.1	sp|Q2FUW1|SRAP_STAA8	43.75	16	3.6	20
WP_001829623.1	tr|A0A390J584|A0A390J584_STAAU	43.478	23	3.6	18.9
WP_002489765.1	sp|O33635|ATL_STAEP	42.857	14	3.6	20
WP_001831406.1	sp|Q2G2B2|SASG_STAA8	42.308	26	3.6	19.6
WP_001831102.1	sp|Q2FE03|FNBA_STAA3	41.176	17	3.6	20
WP_002447401.1	sp|Q53653|CLFA_STAAE	41.176	17	3.6	19.2
WP_002456947.1	sp|P80544|PLS_STAAU	41.176	34	3.6	21.2
WP_002440556.1	sp|Q2FJ78|SDRD_STAA3	40.909	22	3.6	20
WP_001831012.1	sp|O33635|ATL_STAEP	40	30	3.6	21.6
WP_001831896.1	sp|Q2G2B2|SASG_STAA8	40	15	3.6	17.7
WP_001831896.1	sp|Q2G2B2|SASG_STAA8	40	15	3.6	17.7
WP_001831896.1	sp|Q2G2B2|SASG_STAA8	40	15	3.6	17.7
WP_001831896.1	sp|Q2G2B2|SASG_STAA8	40	15	3.6	17.7
WP_001831896.1	sp|Q2G2B2|SASG_STAA8	40	15	3.6	17.7
WP_001831896.1	sp|Q2G2B2|SASG_STAA8	40	15	3.6	17.7
WP_001831896.1	sp|Q2G2B2|SASG_STAA8	40	15	3.6	17.7
WP_001830826.1	tr|A0A1L7H885|A0A1L7H885_STAAU	39.394	33	3.6	20
WP_001829782.1	tr|A0A390J584|A0A390J584_STAAU	38.889	18	3.6	18.5
WP_001830812.1	sp|Q2FE03|FNBA_STAA3	38.889	18	3.6	18.9
WP_002456823.1	sp|O33635|ATL_STAEP	38.889	18	3.6	17.3
WP_001829807.1	sp|O86487|SDRC_STAAE	38.095	21	3.6	18.9
WP_011274427.1	sp|Q53654|CNA_STAAU	38.095	21	3.6	21.2
WP_001831509.1	sp|Q53654|CNA_STAAU	37.931	29	3.6	21.2
WP_001831250.1	sp|Q2FJ77|SDRE_STAA3	37.5	32	3.6	19.2
WP_001831813.1	sp|Q7A656|ISDB_STAAN	37.5	16	3.6	20.4
WP_001831164.1	sp|Q2G2B2|SASG_STAA8	36.842	19	3.6	18.9
WP_000746201.1	sp|Q2FJ78|SDRD_STAA3	36.364	33	3.6	18.5
WP_001831129.1	sp|Q53653|CLFA_STAAE	36.364	22	3.6	20.8
WP_001830170.1	sp|Q2FE03|FNBA_STAA3	36	25	3.6	20.8
WP_001829707.1	sp|P80544|PLS_STAAU	35.484	31	3.6	20.8
WP_001830789.1	sp|Q2G2B2|SASG_STAA8	35.484	31	3.6	19.2
WP_001830789.1	sp|Q2G2B2|SASG_STAA8	35.484	31	3.6	19.2
WP_001829465.1	sp|Q53654|CNA_STAAU	35	20	3.6	18.1
WP_001829660.1	sp|Q7A656|ISDB_STAAN	34.783	23	3.6	19.6
WP_001830124.1	sp|Q2FJ77|SDRE_STAA3	34.615	26	3.6	20.8
WP_001830372.1	sp|Q2FJ78|SDRD_STAA3	34.483	29	3.6	19.2
WP_002456103.1	sp|Q2FJ77|SDRE_STAA3	33.333	18	3.6	18.5
WP_002486049.1	sp|Q8NW39|ISDH_STAAW	33.333	30	3.6	20
WP_002456066.1	sp|Q5HCR7|CLFB_STAAC	32.609	46	3.6	19.6
WP_002467589.1	sp|Q53654|CNA_STAAU	32.432	37	3.6	21.6
WP_002467589.1	sp|Q53654|CNA_STAAU	32.432	37	3.6	21.6
WP_001832339.1	sp|Q2G2B2|SASG_STAA8	31.429	35	3.6	21.6
WP_002456453.1	sp|Q8NW39|ISDH_STAAW	31.25	16	3.6	18.9
WP_002484894.1	sp|A6QF98|EMP_STAAE	31.25	32	3.6	20.8
WP_001829904.1	sp|O86487|SDRC_STAAE	31.148	61	3.6	19.6
WP_001831698.1	sp|P80544|PLS_STAAU	30.769	39	3.6	20.8
WP_002456713.1	sp|O33635|ATL_STAEP	30.357	56	3.6	20.4
WP_002437244.1	sp|Q2FJ78|SDRD_STAA3	30.303	33	3.6	19.2
WP_002438954.1	sp|Q2G2B2|SASG_STAA8	30.233	43	3.6	19.2
WP_001829425.1	sp|P80544|PLS_STAAU	29.73	37	3.6	21.6
WP_001829379.1	sp|P0C047|ESXB_STAAE	29.63	27	3.6	18.1
WP_001284652.1	tr|A0A1L7H885|A0A1L7H885_STAAU	29.545	44	3.6	18.1
WP_001832412.1	sp|Q53653|CLFA_STAAE	29.412	34	3.6	18.5
WP_001831038.1	sp|Q2FJ77|SDRE_STAA3	29.231	65	3.6	20.4
WP_002456822.1	sp|Q2FJ78|SDRD_STAA3	28.947	76	3.6	21.2
WP_002489642.1	sp|Q7A656|ISDB_STAAN	28.947	38	3.6	19.6
WP_001830193.1	sp|Q53653|CLFA_STAAE	28.571	28	3.6	21.2
WP_001831064.1	sp|Q2FE03|FNBA_STAA3	28.571	56	3.6	19.6
WP_002455936.1	sp|Q2G2B2|SASG_STAA8	28.358	67	3.6	20.4
WP_001831933.1	sp|Q2FJ77|SDRE_STAA3	28.261	46	3.6	20
WP_002456988.1	sp|Q2FJ77|SDRE_STAA3	28.261	46	3.6	20
WP_001831262.1	sp|Q2FJ77|SDRE_STAA3	28.07	57	3.6	17.7
WP_001832403.1	sp|A6QF98|EMP_STAAE	28	25	3.6	19.2
WP_002438142.1	sp|Q53653|CLFA_STAAE	27.907	43	3.6	20
WP_001829501.1	sp|Q2FJ77|SDRE_STAA3	27.778	54	3.6	20.8
WP_001830316.1	sp|Q2FJ78|SDRD_STAA3	27.692	65	3.6	19.6
WP_001551925.1	sp|Q2FJ77|SDRE_STAA3	26.923	52	3.6	18.1
WP_001831072.1	sp|Q2FJ77|SDRE_STAA3	26.786	56	3.6	20.8
WP_001833073.1	sp|Q2FJ78|SDRD_STAA3	26.667	30	3.6	20.8
WP_162155653.1	sp|Q2FJ78|SDRD_STAA3	26.667	15	3.6	16.2
WP_001831666.1	sp|O33635|ATL_STAEP	26.23	61	3.6	18.9
WP_002387626.1	sp|Q2FHV1|ISDA_STAA3	26.154	65	3.6	20
WP_001830007.1	sp|Q8NW39|ISDH_STAAW	26.087	69	3.6	20.8
WP_002489867.1	tr|Q6T1I1|Q6T1I1_STAAU	25.714	35	3.6	20
WP_002495357.1	sp|Q8NW39|ISDH_STAAW	25.49	51	3.6	18.5
WP_001830124.1	sp|Q2G2B2|SASG_STAA8	25	116	3.6	20.8
WP_001830659.1	sp|P80544|PLS_STAAU	25	100	3.6	19.2
WP_080388512.1	sp|O86487|SDRC_STAAE	24.59	183	3.6	25.4
WP_002438776.1	sp|Q5HCR7|CLFB_STAAC	23.81	84	3.6	20
WP_001830488.1	sp|Q8NW39|ISDH_STAAW	23.729	59	3.6	20.8
WP_002455988.1	tr|A0A390J584|A0A390J584_STAAU	23.611	72	3.6	20.4
WP_001551920.1	sp|Q2FE03|FNBA_STAA3	23.333	60	3.6	20.8
WP_002486289.1	sp|Q2FJ77|SDRE_STAA3	23.148	108	3.6	20.8
WP_001829355.1	sp|O33635|ATL_STAEP	22.857	35	3.6	18.5
WP_001831025.1	sp|Q2FE03|FNBA_STAA3	21.348	89	3.6	18.9
WP_001830755.1	sp|P0C047|ESXB_STAAE	85.714	7	3.7	19.6
WP_001832093.1	sp|Q2FUW1|SRAP_STAA8	75	12	3.7	20.8
WP_001830585.1	sp|Q7A656|ISDB_STAAN	60	10	3.7	18.5
WP_001831698.1	sp|Q2G2B2|SASG_STAA8	58.333	12	3.7	20.8
WP_001831526.1	sp|Q2FE03|FNBA_STAA3	54.545	11	3.7	19.6
WP_001830956.1	sp|Q7A656|ISDB_STAAN	53.846	13	3.7	18.1
WP_002458084.1	sp|O86487|SDRC_STAAE	53.846	13	3.7	20
WP_002458084.1	sp|Q2FJ77|SDRE_STAA3	53.846	13	3.7	20
WP_002458084.1	sp|Q2FJ78|SDRD_STAA3	53.846	13	3.7	20
WP_049387477.1	sp|Q2G2B2|SASG_STAA8	53.846	13	3.7	20
WP_049387477.1	sp|Q2G2B2|SASG_STAA8	53.846	13	3.7	20
WP_049387477.1	sp|Q2G2B2|SASG_STAA8	53.846	13	3.7	20
WP_049387477.1	sp|Q2G2B2|SASG_STAA8	53.846	13	3.7	20
WP_049387477.1	sp|Q2G2B2|SASG_STAA8	53.846	13	3.7	20
WP_049387477.1	sp|Q2G2B2|SASG_STAA8	53.846	13	3.7	20
WP_001830378.1	sp|Q7A656|ISDB_STAAN	50	14	3.7	18.1
WP_002438008.1	sp|P80544|PLS_STAAU	50	14	3.7	21.2
WP_001096393.1	sp|Q2FHV1|ISDA_STAA3	47.368	19	3.7	21.2
WP_002456632.1	sp|Q2FE03|FNBA_STAA3	46.667	15	3.7	19.6
WP_001832090.1	sp|Q2FUW1|SRAP_STAA8	45.455	11	3.7	18.5
WP_001053439.1	sp|Q2FJ78|SDRD_STAA3	45	20	3.7	19.6
WP_002438099.1	sp|Q7A656|ISDB_STAAN	43.75	16	3.7	20.8
WP_002438231.1	sp|Q2FE03|FNBA_STAA3	42.857	35	3.7	18.9
WP_001830007.1	sp|Q2FJ78|SDRD_STAA3	42.105	19	3.7	20.8
WP_002439025.1	sp|Q53654|CNA_STAAU	42.105	19	3.7	17.7
WP_002439025.1	sp|Q53654|CNA_STAAU	42.105	19	3.7	17.7
WP_002439025.1	sp|Q53654|CNA_STAAU	42.105	19	3.7	17.7
WP_002439025.1	sp|P80544|PLS_STAAU	41.176	17	3.7	17.7
WP_002439025.1	sp|P80544|PLS_STAAU	41.176	17	3.7	17.7
WP_002439025.1	sp|P80544|PLS_STAAU	41.176	17	3.7	17.7
WP_001832213.1	sp|Q2G2B2|SASG_STAA8	40.909	22	3.7	18.9
WP_001832213.1	sp|Q2G2B2|SASG_STAA8	40.909	22	3.7	18.9
WP_000249804.1	sp|Q2FJ78|SDRD_STAA3	40.741	27	3.7	20.8
WP_057504647.1	sp|Q53654|CNA_STAAU	40	35	3.7	17.7
WP_057504647.1	sp|Q53654|CNA_STAAU	40	35	3.7	17.7
WP_057504647.1	sp|Q53654|CNA_STAAU	40	35	3.7	17.7
WP_001830814.1	sp|Q2G2B2|SASG_STAA8	39.13	23	3.7	21.9
WP_002438349.1	sp|Q2FE03|FNBA_STAA3	38.462	26	3.7	20
WP_001829290.1	sp|Q53654|CNA_STAAU	37.5	16	3.7	18.1
WP_001830976.1	sp|Q2FJ78|SDRD_STAA3	37.5	24	3.7	20.4
WP_001831354.1	sp|Q2FJ78|SDRD_STAA3	36.842	19	3.7	17.7
WP_001829649.1	sp|Q53654|CNA_STAAU	36.667	30	3.7	20
WP_001831696.1	sp|Q8NW39|ISDH_STAAW	35.294	17	3.7	19.2
WP_001832700.1	sp|O33635|ATL_STAEP	35.294	17	3.7	18.9
WP_153801568.1	sp|O33635|ATL_STAEP	34.615	26	3.7	16.5
WP_002494171.1	sp|Q2FHV1|ISDA_STAA3	34.483	29	3.7	19.6
WP_001829568.1	sp|A0A0H2XI99|ESXA_STAA3	33.333	39	3.7	19.2
WP_001830938.1	sp|P80544|PLS_STAAU	33.333	33	3.7	20.8
WP_001831922.1	tr|A0A0U3TLJ6|A0A0U3TLJ6_STAAU	33.333	24	3.7	18.5
WP_002456633.1	sp|O33635|ATL_STAEP	33.333	36	3.7	20
WP_002456695.1	sp|Q53654|CNA_STAAU	33.333	48	3.7	18.9
WP_153647357.1	sp|A6QF98|EMP_STAAE	33.333	21	3.7	20.8
WP_002437258.1	sp|Q2FJ77|SDRE_STAA3	32.432	37	3.7	19.2
WP_001830354.1	sp|Q2FUW1|SRAP_STAA8	31.707	41	3.7	21.6
WP_001829838.1	sp|Q53654|CNA_STAAU	31.667	60	3.7	19.6
WP_002456553.1	sp|O33635|ATL_STAEP	31.579	38	3.7	19.6
WP_172458391.1	sp|Q2FHV1|ISDA_STAA3	31.481	54	3.7	21.2
WP_001831083.1	sp|O86487|SDRC_STAAE	31.25	32	3.7	20.4
WP_001832217.1	sp|Q8NW39|ISDH_STAAW	31.25	32	3.7	18.5
WP_001831193.1	sp|Q2G2B2|SASG_STAA8	30	50	3.7	19.2
WP_001832877.1	sp|O33635|ATL_STAEP	30	40	3.7	20
WP_002495515.1	sp|Q53654|CNA_STAAU	30	30	3.7	21.2
WP_001830902.1	sp|Q53653|CLFA_STAAE	29.787	47	3.7	20
WP_001831980.1	sp|P80544|PLS_STAAU	29.73	37	3.7	20.8
WP_001831980.1	sp|P80544|PLS_STAAU	29.73	37	3.7	20.8
WP_001831980.1	sp|P80544|PLS_STAAU	29.73	37	3.7	20.8
WP_001831420.1	sp|O86487|SDRC_STAAE	29.412	34	3.7	19.6
WP_001830009.1	sp|Q7A656|ISDB_STAAN	28.571	42	3.7	17.3
WP_001831338.1	sp|O33635|ATL_STAEP	28.571	70	3.7	18.9
WP_001832288.1	sp|O86487|SDRC_STAAE	28.571	28	3.7	18.9
WP_083553768.1	sp|Q2G2B2|SASG_STAA8	28.571	63	3.7	21.2
WP_001832467.1	sp|Q53654|CNA_STAAU	28.125	32	3.7	20.8
WP_001832467.1	sp|Q53654|CNA_STAAU	28.125	32	3.7	20.8
WP_001832467.1	sp|Q53654|CNA_STAAU	28.125	32	3.7	20.8
WP_002437223.1	sp|O33635|ATL_STAEP	27.778	54	3.7	21.6
WP_001829253.1	sp|Q8NW39|ISDH_STAAW	27.083	48	3.7	21.2
WP_001831890.1	sp|A0A0H2XI99|ESXA_STAA3	26.866	67	3.7	20.4
WP_002437672.1	tr|A0A390J584|A0A390J584_STAAU	26.531	49	3.7	20.4
WP_001831060.1	sp|Q7A656|ISDB_STAAN	26.471	34	3.7	20.4
WP_001831835.1	sp|Q5HCR7|CLFB_STAAC	26.154	65	3.7	19.6
WP_002455871.1	sp|Q2FUW1|SRAP_STAA8	25.641	39	3.7	18.9
WP_002455928.1	sp|Q2FE03|FNBA_STAA3	25.424	59	3.7	20.8
WP_001829758.1	sp|Q53654|CNA_STAAU	25	56	3.7	18.1
WP_001830956.1	sp|Q5HCR7|CLFB_STAAC	25	20	3.7	18.1
WP_001833083.1	sp|Q53654|CNA_STAAU	25	68	3.7	22.3
WP_002438293.1	sp|O33635|ATL_STAEP	24.793	121	3.7	20.8
WP_001830952.1	sp|Q53653|CLFA_STAAE	24.444	45	3.7	18.9
WP_002456088.1	sp|Q53654|CNA_STAAU	24.39	41	3.7	20.8
WP_002456088.1	sp|Q53654|CNA_STAAU	24.39	41	3.7	20.8
WP_002456088.1	sp|Q53654|CNA_STAAU	24.39	41	3.7	20.8
WP_001831977.1	sp|O86487|SDRC_STAAE	24.138	58	3.7	20.8
WP_002456959.1	sp|A6QF98|EMP_STAAE	24.138	87	3.7	19.6
WP_002437663.1	sp|A0A0H2XI99|ESXA_STAA3	23.188	69	3.7	19.2
WP_001831134.1	sp|Q5HCR7|CLFB_STAAC	22.857	35	3.7	20
WP_001831050.1	sp|Q2FUW1|SRAP_STAA8	21.429	56	3.7	20.4
WP_001830112.1	sp|Q2G2B2|SASG_STAA8	21.212	66	3.7	20.4
WP_001830112.1	sp|Q2G2B2|SASG_STAA8	21.212	66	3.7	20.4
WP_002485333.1	sp|Q2FJ78|SDRD_STAA3	21.101	109	3.7	20.8
WP_001831588.1	sp|Q5HCR7|CLFB_STAAC	85.714	7	3.8	16.9
WP_001831899.1	sp|O33635|ATL_STAEP	66.667	9	3.8	18.5
WP_001829387.1	sp|Q2FUW1|SRAP_STAA8	64	25	3.8	20
WP_031869692.1	sp|Q2FHV1|ISDA_STAA3	62.5	16	3.8	20.4
WP_001832216.1	sp|Q53654|CNA_STAAU	57.143	14	3.8	19.2
WP_001831672.1	sp|P80544|PLS_STAAU	53.846	13	3.8	19.2
WP_001832057.1	sp|Q53653|CLFA_STAAE	53.846	13	3.8	18.5
WP_002456515.1	sp|Q2G2B2|SASG_STAA8	52.381	21	3.8	20.4
WP_001830606.1	sp|Q2FJ78|SDRD_STAA3	50	18	3.8	20.4
WP_107362610.1	sp|Q53654|CNA_STAAU	50	12	3.8	15.4
WP_002439534.1	sp|Q2FJ78|SDRD_STAA3	45.455	22	3.8	21.6
WP_001830878.1	sp|Q53654|CNA_STAAU	45	20	3.8	20.4
WP_001832289.1	sp|Q2G2B2|SASG_STAA8	44.444	18	3.8	20.4
WP_002456990.1	sp|A6QF98|EMP_STAAE	44.444	18	3.8	19.6
WP_001829501.1	sp|Q2FJ78|SDRD_STAA3	44	25	3.8	20.8
WP_001830470.1	sp|Q2FE03|FNBA_STAA3	43.75	16	3.8	19.6
WP_002437887.1	sp|Q8NW39|ISDH_STAAW	43.478	23	3.8	18.5
WP_002437624.1	sp|Q7A656|ISDB_STAAN	42.857	28	3.8	18.1
WP_002456556.1	tr|Q6T1I1|Q6T1I1_STAAU	42.308	26	3.8	18.5
WP_001831260.1	sp|Q53654|CNA_STAAU	41.667	12	3.8	16.9
WP_001831260.1	sp|Q53654|CNA_STAAU	41.667	12	3.8	16.9
WP_001831260.1	sp|Q53654|CNA_STAAU	41.667	12	3.8	16.9
WP_002438313.1	sp|Q2G2B2|SASG_STAA8	41.379	29	3.8	20
WP_001829501.1	sp|Q2FE03|FNBA_STAA3	40.909	22	3.8	20.8
WP_001829860.1	sp|O33635|ATL_STAEP	39.286	28	3.8	20
WP_002456758.1	sp|Q2FJ78|SDRD_STAA3	37.5	24	3.8	20.8
WP_002489694.1	sp|Q2G2B2|SASG_STAA8	37.5	24	3.8	20.4
WP_001830843.1	sp|Q8NW39|ISDH_STAAW	36.364	22	3.8	20
WP_002485917.1	sp|O33635|ATL_STAEP	35.714	28	3.8	21.6
WP_306532126.1	sp|Q2FHV1|ISDA_STAA3	35.714	14	3.8	18.9
WP_002439062.1	sp|Q53654|CNA_STAAU	34.694	49	3.8	20.4
WP_000364405.1	sp|A6QF98|EMP_STAAE	34.483	29	3.8	20
WP_032603497.1	sp|O33635|ATL_STAEP	34.483	29	3.8	19.6
WP_001829369.1	sp|Q2FE03|FNBA_STAA3	33.333	45	3.8	20
WP_001829591.1	sp|Q7A656|ISDB_STAAN	33.333	30	3.8	20.8
WP_001831083.1	sp|Q8NW39|ISDH_STAAW	33.333	24	3.8	20.4
WP_001831915.1	sp|A6QF98|EMP_STAAE	33.333	24	3.8	20.4
WP_002438333.1	sp|Q2FUW1|SRAP_STAA8	33.333	27	3.8	19.6
WP_002438541.1	sp|Q2G2B2|SASG_STAA8	33.333	27	3.8	16.5
WP_002456632.1	sp|O86487|SDRC_STAAE	33.333	33	3.8	19.2
WP_001830428.1	sp|O86487|SDRC_STAAE	32.653	49	3.8	20
WP_002457086.1	sp|Q53654|CNA_STAAU	32.653	49	3.8	18.1
WP_002437223.1	sp|Q7A656|ISDB_STAAN	32.609	46	3.8	21.6
WP_002438342.1	sp|Q2FE03|FNBA_STAA3	32.609	46	3.8	21.6
WP_001832064.1	sp|Q8NW39|ISDH_STAAW	32.558	43	3.8	16.9
WP_001831813.1	sp|Q2FJ78|SDRD_STAA3	32.258	31	3.8	20.4
WP_002484563.1	sp|Q2FJ78|SDRD_STAA3	32.258	31	3.8	20.8
WP_001832636.1	sp|Q53654|CNA_STAAU	32.143	56	3.8	20.8
WP_001831212.1	sp|Q5HCR7|CLFB_STAAC	32.099	81	3.8	20.8
WP_002438722.1	sp|A6QF98|EMP_STAAE	32	25	3.8	18.5
WP_002437731.1	sp|Q2FUW1|SRAP_STAA8	31.111	45	3.8	20.8
WP_002456355.1	sp|Q8NW39|ISDH_STAAW	30.435	23	3.8	20.4
